,제목,왓챠평점
0,명량,평균 ★3.7 (112만명)
1,겨울왕국,평균 ★4.0 (174만명)
2,인터스텔라,평균 ★4.3 (102만명)
3,수상한 그녀,평균 ★3.8 (120만명)
4,해적: 바다로 간 산적,평균 ★3.3 (57만명)
5,변호인,평균 ★4.1 (142만명)
6,국제시장,평균 ★3.8 (101만명)
7,트랜스포머: 사라진 시대,평균 ★3.1 (20만명)
8,군도: 민란의 시대,평균 ★3.3 (47만명)
9,엣지 오브 투모로우,평균 ★3.9 (42만명)
