,제목,연도,장르,제작국가
0,베테랑,2014,액션,['한국']
1,암살,2015,액션,['한국']
2,어벤져스: 에이지 오브 울트론,2015,액션,['미국']
3,국제시장,2014,드라마,['한국']
4,내부자들,2015,범죄,['한국']
5,사도,2015,시대극,['한국']
6,킹스맨 : 시크릿 에이전트,2014,액션,"['영국', '미국']"
7,미션 임파서블: 로그네이션,2015,액션,"['미국', '중국', '홍콩', '오스트리아', '영국', '모로코']"
8,연평해전,2015,전쟁,['한국']
9,쥬라기 월드,2015,액션,['미국']
