,제목,연도,장르,제작국가
0,부산행,2016,액션,['한국']
1,검사외전,2015,드라마,['한국']
2,캡틴 아메리카: 시빌 워,2016,액션,['미국']
3,밀정,2016,액션,['한국']
4,터널,2016,드라마,['한국']
5,인천상륙작전,2016,전쟁,['한국']
6,럭키,2015,코미디,['한국']
7,곡성,2015,미스터리,['한국']
8,덕혜옹주,2016,시대극,['한국']
9,닥터 스트레인지,2016,액션,['미국']
