,제목,연도,장르,제작국가
0,아바타,2009,SF,"['영국', '미국']"
1,아저씨,2010,드라마,['한국']
2,인셉션,2010,액션,"['미국', '영국']"
3,의형제,2010,드라마,['한국']
4,아이언맨 2,2010,SF,['미국']
5,전우치,2009,액션,['한국']
6,이끼,2010,드라마,['한국']
7,포화속으로,2010,전쟁,['한국']
8,하모니,2009,드라마,['한국']
9,방자전,2010,드라마,['한국']
