,제목,왓챠평점
0,공조,평균 ★3.6 (47만명)
1,택시운전사,평균 ★4.0 (80만명)
2,더 킹,평균 ★3.5 (47만명)
3,미녀와 야수,평균 ★3.5 (19만명)
4,신과함께-죄와 벌,평균 ★3.8 (89만명)
5,분노의 질주: 더 익스트림,평균 ★3.6 (6만명)
6,스파이더맨: 홈 커밍,평균 ★4.1 (60만명)
7,너의 이름은.,평균 ★4.0 (110만명)
8,미이라,평균 ★2.7 (7만명)
9,범죄도시,평균 ★3.9 (50만명)
