,제목,연도,장르,제작국가
0,명량,2014,시대극,['한국']
1,겨울왕국,2013,모험,['미국']
2,인터스텔라,2014,모험,"['미국', '영국', '캐나다']"
3,수상한 그녀,2013,코미디,['한국']
4,해적: 바다로 간 산적,2014,액션,['한국']
5,변호인,2013,드라마,['한국']
6,국제시장,2014,드라마,['한국']
7,트랜스포머: 사라진 시대,2014,액션,"['미국', '중국', '홍콩']"
8,군도: 민란의 시대,2014,드라마,['한국']
9,엣지 오브 투모로우,2014,액션,"['미국', '캐나다']"
