,제목,왓챠평점
0,극한직업,평균 ★4.1 (62만명)
1,어벤져스: 엔드게임,평균 ★4.2 (17만명)
2,겨울왕국 2,평균 ★3.7 (12만명)
3,알라딘,평균 ★3.9 (17만명)
4,기생충,평균 ★4.3 (54만명)
5,엑시트,평균 ★3.9 (40만명)
6,스파이더맨: 파 프롬 홈,평균 ★3.6 (13만명)
7,백두산,평균 ★2.9 (5만명)
8,캡틴 마블,평균 ★3.5 (13만명)
9,조커,평균 ★3.9 (14만명)
