,제목,연도,장르,제작국가
0,극한직업,2018,코미디,['한국']
1,어벤져스: 엔드게임,2019,액션,['미국']
2,겨울왕국 2,2019,애니메이션,['미국']
3,알라딘,2019,모험,['미국']
4,기생충,2019,드라마,['한국']
5,엑시트,2019,코미디,['한국']
6,스파이더맨: 파 프롬 홈,2019,액션,['미국']
7,백두산,2019,드라마,['한국']
8,캡틴 마블,2019,액션,['미국']
9,조커,2019,스릴러,['미국']
