,제목,왓챠평점
0,신과함께-인과 연,평균 ★3.6 (28만명)
1,어벤져스: 인피니티 워,평균 ★4.0 (22만명)
2,보헤미안 랩소디,평균 ★3.9 (20만명)
3,미션 임파서블: 폴아웃,평균 ★3.7 (11만명)
4,신과함께-죄와 벌,평균 ★3.8 (89만명)
5,쥬라기 월드: 폴른 킹덤,평균 ★3.2 (7만명)
6,앤트맨과 와스프,평균 ★3.6 (16만명)
7,안시성,평균 ★3.1 (10만명)
8,블랙 팬서,평균 ★3.5 (21만명)
9,완벽한 타인,평균 ★3.8 (41만명)
