,제목,연도,장르,제작국가
0,남산의 부장들,2019,드라마,['한국']
1,다만 악에서 구하소서,2020,범죄,['한국']
2,반도,2020,액션,['한국']
3,히트맨,2019,코미디,['한국']
4,테넷,2020,액션,"['영국', '미국']"
5,백두산,2019,드라마,['한국']
6,#살아있다,2020,드라마,['한국']
7,강철비2: 정상회담,2019,드라마,['한국']
8,담보,2020,드라마,['한국']
9,닥터 두리틀,2020,모험,['미국']
