,제목,연도,장르,제작국가
0,7번방의 선물,2012,드라마,['한국']
1,설국열차,2013,액션,['한국']
2,관상,2013,드라마,['한국']
3,아이언맨 3,2013,SF,['미국']
4,베를린,2012,액션,['한국']
5,은밀하게 위대하게,2013,액션,['한국']
6,변호인,2013,드라마,['한국']
7,숨바꼭질,2013,스릴러,['한국']
8,더 테러 라이브,2013,드라마,['한국']
9,감시자들,2013,액션,['한국']
