,제목,연도,장르,제작국가
0,트랜스포머 3,2011,액션,['미국']
1,최종병기 활,2011,시대극,['한국']
2,써니,2011,드라마,['한국']
3,완득이,2011,드라마,['한국']
4,쿵푸팬더 2,2011,애니메이션,['미국']
5,미션임파서블:고스트프로토콜,2011,액션,['미국']
6,조선명탐정 : 각시투구꽃의 비밀,2011,코미디,['한국']
7,도가니,2011,스릴러,['한국']
8,해리포터와 죽음의 성물2,2011,모험,"['영국', '미국']"
9,리얼 스틸,2011,액션,['미국']
