,제목,왓챠평점
0,트랜스포머 3,평균 ★3.5 (55만명)
1,최종병기 활,평균 ★3.6 (63만명)
2,써니,평균 ★4.0 (196만명)
3,완득이,평균 ★3.4 (86만명)
4,쿵푸팬더 2,평균 ★3.5 (43만명)
5,미션임파서블:고스트프로토콜,평균 ★3.9 (46만명)
6,조선명탐정 : 각시투구꽃의 비밀,평균 ★3.3 (61만명)
7,도가니,평균 ★3.6 (74만명)
8,해리포터와 죽음의 성물2,평균 ★4.1 (58만명)
9,리얼 스틸,평균 ★3.7 (61만명)
