,제목,관객수,매출액,연도
0,명량,17576195,135474044210,2014
1,겨울왕국,10264800,82205050200,2014
2,인터스텔라,10102890,80648119300,2014
3,수상한 그녀,8617226,62461103649,2014
4,해적: 바다로 간 산적,8613324,66093465006,2014
5,변호인,5658458,41723491500,2014
6,국제시장,5325814,40938420596,2014
7,트랜스포머: 사라진 시대,5291192,43959452345,2014
8,군도: 민란의 시대,4762250,36899846099,2014
9,엣지 오브 투모로우,4684113,38599585601,2014
10,엑스맨: 데이즈 오브 퓨처 패스트,4306835,34597309366,2014
11,어메이징 스파이더맨 2,4154100,34750086300,2014
12,혹성탈출: 반격의 서막,3998743,31482638295,2014
13,타짜-신의 손,3970203,32138108827,2014
14,캡틴 아메리카: 윈터 솔져,3959145,31673245085,2014
15,"님아, 그 강을 건너지 마오",3844072,29827978479,2014
16,역린,3838826,29815601390,2014
17,신의 한 수,3555449,28724581756,2014
18,끝까지 간다,3443860,26961799300,2014
19,비긴 어게인,3399638,26881570354,2014
20,드래곤 길들이기 2,2963118,23713523489,2014
21,표적,2838210,22228378300,2014
22,메이즈 러너,2799341,21391617477,2014
23,호빗: 다섯 군대 전투,2507592,21403857344,2014
24,나의 사랑 나의 신부,2128971,16546976005,2014
25,논스톱,2077723,16019049540,2014
26,인투 더 스톰,2074705,16128628832,2014
27,노아,2002869,15327882100,2014
28,남자가 사랑할 때,1955690,14347742000,2014
29,루시,1953401,16295649539,2014
30,용의자,1951663,14388865000,2014
31,기술자들,1773128,13617276248,2014
32,나를 찾아줘,1728962,13724324731,2014
33,제보자,1721061,13272524002,2014
34,피끓는 청춘,1662719,11595042888,2014
35,두근두근 내 인생,1600183,12111844634,2014
36,300: 제국의 부활,1590406,13364053700,2014
37,우아한 거짓말,1577929,11464377400,2014
38,엑소더스: 신들과 왕들,1506291,12401869926,2014
39,해무(海霧),1470792,11671258619,2014
40,인간중독,1425024,11155483100,2014
41,말레피센트,1391138,10730655500,2014
42,폼페이: 최후의 날,1368637,10267682200,2014
