,제목,관객수,매출액,연도
43,퓨리,1359328,10349407686,2014
44,드라큘라: 전설의 시작,1317954,10577228808,2014
45,가디언즈 오브 갤럭시,1255150,10646263384,2014
46,찌라시: 위험한 소문,1202983,8973477987,2014
47,빅매치,1170075,8900272178,2014
48,슬로우 비디오,1149232,8767276119,2014
49,방황하는 칼날,986900,7802699300,2014
50,로보캅,967971,7212526258,2014
51,우리는 형제입니다,954769,7154940099,2014
52,애나벨,908651,6953551843,2014
53,헝거게임: 모킹제이,841973,6307613944,2014
54,월터의 상상은 현실이 된다,811716,5967712799,2014
55,카트,777388,5652130433,2014
56,그랜드 부다페스트 호텔,756842,5877489000,2014
57,관능의 법칙,748933,5612145400,2014
58,리오 2,747140,5543251500,2014
59,"안녕, 헤이즐",740333,5761450500,2014
60,고질라,706605,5946670963,2014
61,트랜센던스,683156,5379537200,2014
62,상의원,666032,5209429564,2014
63,플랜맨,624939,4480328058,2014
64,황제를 위하여,589138,4730700771,2014
65,우는 남자,587603,4801572200,2014
66,타잔 3D,587422,4384279500,2014
67,패션왕,585949,4304624879,2014
68,더 울프 오브 월스트리트,559868,4295958500,2014
69,스텝 업: 올 인,520138,4012845977,2014
70,몬스터,516495,4059286015,2014
71,눈의 여왕 2: 트롤의 마법거울,495726,3603492700,2014
72,어바웃 타임,487352,3696437500,2014
73,노예 12년,484493,3542270100,2014
74,엔더스 게임,476084,3613537500,2014
75,조선미녀삼총사,469517,3396137321,2014
76,소녀괴담,468504,3460608517,2014
77,또 하나의 약속,456589,3231064900,2014
78,마담 뺑덕,449733,3566015390,2014
79,넛잡: 땅콩 도둑들,448400,3091285500,2014
80,썬더와 마법저택,436732,2952507000,2014
81,다이버전트,414074,3221373611,2014
82,주온 : 끝의 시작,407264,3048392231,2014
83,좋은 친구들,397711,3151501310,2014
84,신이 보낸 사람,385464,2801619700,2014
85,나의 독재자,369252,2778722046,2014
86,천재 강아지 미스터 피바디,363709,2698871200,2014
87,명탐정 코난 : 이차원의 저격수,363087,2512147200,2014
88,닌자터틀,351517,2932536347,2014
89,잭 라이언 : 코드네임 쉐도우,323109,2362231500,2014
90,선 오브 갓,319567,2324793300,2014
91,하이힐,319118,2566118500,2014
92,그녀,312662,2549878300,2014
93,미녀와 야수,310603,2354179700,2014
94,숲속으로,306382,2330821988,2014
95,레드카펫,305950,2322945780,2014
96,"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",299071,1944938000,2014
97,비행기 2: 소방구조대,286711,2085264600,2014
98,프랑켄슈타인: 불멸의 영웅,283866,2063326623,2014
99,"러브, 로지",272867,2068306446,2014
100,오큘러스,262490,1994413400,2014
101,사랑에 대한 모든 것,261232,2028370546,2014
102,마야,250723,1851786000,2014
103,툼스톤,238922,1849164347,2014
104,노벰버 맨,237882,1782056820,2014
105,창문 넘어 도망친 100세 노인,230810,1748979671,2014
106,쓰리데이즈 투 킬,224054,1712752700,2014
107,그레이스 오브 모나코,222680,1648020200,2014
108,극장판 루팡 3세 VS 명탐정 코난,219594,1541336600,2014
109,한공주,213769,1694268500,2014
110,헤라클레스 : 레전드 비긴즈,211880,1597335951,2014
111,덕수리 5형제,206800,1560530200,2014
112,뽀로로 극장판 눈요정 마을 대모험,203437,1018823200,2014
113,저스틴,201421,1348954500,2014
114,"극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~",186479,1356084100,2014
115,덤 앤 더머 투,179146,1338324085,2014
116,론 서바이버 ,178680,1349889320,2014
117,레고 무비,173039,1179181500,2014
118,일곱난쟁이,171685,1227246800,2014
119,보이후드,167651,1288254765,2014
120,라스트베가스,167594,1290045295,2014
121,하울의 움직이는 성,166883,1241796317,2014
122,컬러풀 웨딩즈,158590,1203650580,2014
123,명탐정 코난 : 탐정들의 진혼가 ,151888,996869600,2014
124,아빠를 빌려드립니다,150494,1062344900,2014
125,마다가스카의 펭귄,145138,1014987800,2014
126,테이큰 3,144535,1004533000,2014
127,폴리스 스토리 2014,141548,1047153000,2014
128,익스펜더블 3,141290,1076251600,2014
129,극장판 도라에몽: 진구의 아프리카 모험 ~베코와 5인의 탐험대~,134519,963784500,2014
130,호빗: 스마우그의 폐허,128295,975918767,2014
131,아메리칸 허슬,122177,925875500,2014
132,맨홀,121758,989293130,2014
133,가시,120027,927817600,2014
134,터키,106032,745547400,2014
135,더 시그널,104116,799248328,2014
136,더 기버: 기억전달자,99117,753430900,2014
137,베리 굿 걸,98735,740141145,2014
138,도희야,97950,765579600,2014
139,니드 포 스피드,93344,744663400,2014
140,박스트롤,90103,652962700,2014
141,마담 프루스트의 비밀정원,86226,674008042,2014
142,살인자,84882,633829000,2014
143,다이노소어 어드벤처 3D,84309,656874000,2014
144,허큘리스,82915,637652300,2014
145,꾸뻬씨의 행복여행,80390,587683400,2014
146,슈퍼미니,78101,567325300,2014
147,분신사바 2,77695,566108500,2014
148,집으로 가는 길,72961,543442500,2014
149,짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!,71770,506661300,2014
150,원 챈스,70844,522661000,2014
151,브릭 맨션: 통제불능 범죄구역,70365,509440547,2014
152,페이스 오브 러브,69067,510946305,2014
153,아더 우먼,68940,516437318,2014
154,모뉴먼츠 맨: 세기의 작전,66546,497899327,2014
155,터널 3D,65886,504563700,2014
156,씬 시티: 다크히어로의 부활,62367,489648848,2014
157,더 바디,62051,467145400,2014
158,극장판 포켓몬스터 AG - 아름다운 소원의 별 지라치,61160,434984000,2014
159,어거스트: 가족의 초상,54706,411607300,2014
160,프란시스 하,53085,414893300,2014
161,다이애나,52751,374673100,2014
162,더 퍼지 : 거리의 반란,52303,404207500,2014
163,정글히어로,50144,369355600,2014
164,인사이드 르윈 ,47020,362431000,2014
165,내가 잠들기 전에,44348,348342900,2014
166,극장판 가면라이더 VS 파워레인저 슈퍼히어로 대전,43849,293181000,2014
167,경주,42534,320761500,2014
168,달라스 바이어스 클럽,41111,329950143,2014
169,울브스,39153,284116169,2014
170,개를 훔치는 완벽한 방법,37733,266468900,2014
171,님포매니악 볼륨1,36635,286424200,2014
172,백프로,35343,265013600,2014
173,나쁜 이웃들 ,34703,282539300,2014
174,인보카머스,33884,271302000,2014
175,부니 베어: 롤라 구출 대모험,32582,230846700,2014
176,프랭크,31091,238236745,2014
177,몬스터 왕국,29107,201008300,2014
178,슈퍼노바 지구 탈출기,27585,181203500,2014
179,설계,26255,194955400,2014
180,벨과 세바스찬,22662,162908300,2014
181,마이 블랭키,21870,158512000,2014
182,왓 이프,21724,161931200,2014
183,매직 인 더 문라이트,19282,147579602,2014
184,디노타샤: 공룡대탐험,18565,132213000,2014
185,위크엔드 인 파리,18377,150253900,2014
186,파가니니: 악마의 바이올리니스트,17367,129404300,2014
187,그랜드 피아노,17121,119461000,2014
188,천하무적 키코리키,16655,119640500,2014
189,꼬마영웅 경찰차 프로디2,16313,112819400,2014
190,초원의 왕 도제,15592,109014700,2014
191,앵그리스트 맨,15405,112492700,2014
192,선샤인 온 리스,15357,118230300,2014
193,유고와 라라 : 신비의 숲 어드벤처,14925,108509700,2014
194,꼬마 잠수함 올리 2,14569,107030500,2014
195,지골로 인 뉴욕,14347,103424023,2014
196,"제자, 옥한흠",14256,103928100,2014
197,쥬로링 동물탐정 극장판,13973,101591300,2014
198,베스트 오퍼,13937,102654000,2014
199,극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!,12742,88996000,2014
200,어떤 만남,12707,100111700,2014
201,마미,12597,97655600,2014
202,어네스트와 셀레스틴,10749,68263600,2014
203,프라이버시,10187,72798366,2014
204,비포 : 치즈와 초콜릿을 찾아서,9691,67140500,2014
205,아바타 정글의 비밀,9501,64201700,2014
206,GROW: 인피니트의 리얼 청춘 라이프,9451,79815300,2014
207,필로미나의 기적,9223,61912500,2014
208,우리별 일호와 얼룩소,9008,57634500,2014
209,"하늘을 나는 강아지, 비포와 친구들",8832,60165800,2014
210,혼스,8570,64675952,2014
211,로코왕국의 전설: 엘프킹을 찾아서,8446,60278800,2014
212,토마스와 친구들: 잃어버린 왕관,8255,63539500,2014
213,목숨,8221,59524500,2014
214,패딩턴,7937,66445000,2014
215,내 연애의 기억,7506,56416400,2014
216,본타: 땅콩왕국의 전설,7463,55816800,2014
217,배틀 오브 비보이,7399,45069000,2014
218,굿모닝 맨하탄,7063,48299500,2014
219,엔들리스 러브,6946,52221400,2014
220,이브 생 로랑,6904,54218100,2014
221,로보싸커,6787,47960700,2014
222,거인,6506,48107800,2014
223,리스본행 야간열차,6393,46634500,2014
224,초콜렛 도넛,6392,47871300,2014
225,더 테너 리리코 스핀토,5892,43357500,2014
226,극장판 날아라! 호빵맨 : 바나나섬을 되찾아줘,5602,40129900,2014
227,마인드스케이프,4893,35484700,2014
228,타임 투 러브,4720,32029400,2014
229,스턱 인 러브,4665,31181000,2014
230,그렇게 아버지가 된다,4474,25728500,2014
231,세이빙 미스터 뱅크스,4182,32076400,2014
232,테레즈 라캥,3651,27360400,2014
233,그레이트 뷰티,3501,24218900,2014
234,동경가족,3496,26961400,2014
235,"가장 따뜻한 색, 블루",3394,18428000,2014
236,드래프트 데이,3369,26548700,2014
237,밀리언 웨이즈,3258,23793200,2014
238,님포매니악 볼륨2,3215,24418900,2014
239,그 사람 그 사랑 그 세상,3107,21369500,2014
240,봄,2702,19072100,2014
241,그래비티,2645,21160000,2014
242,케이트 맥콜,2529,20224000,2014
243,킬 유어 달링,2480,18026100,2014
244,산타바바라,2236,17366000,2014
245,블러드 타이즈 ,1756,11766000,2014
246,메멘토,1708,13642000,2014
247,스톤,1661,8308000,2014
248,파이어 : 테러와의 전쟁,1636,11452000,2014
249,누구에게나 찬란한,1596,10851000,2014
250,밀애,1420,6235000,2014
251,침입자들 : 로봇의 역습,1378,9546000,2014
252,디태치먼트,1310,9287500,2014
253,일대일,1199,8393000,2014
254,유아 넥스트,1181,9266800,2014
255,히트맨 NO.2 : 살인면허,1048,6906000,2014
256,파이어스톰,1023,8389000,2014
257,쎄븐 플로어,912,5531000,2014
258,아이스맨,730,400000,2014
259,사브리나,560,1140000,2014
