,제목,관객수,매출액,연도
168,레드라이트,35965,254018000,2012
169,하트 브레이커,35637,260346500,2012
170,저지드레드 3D,34034,259120000,2012
171,밀림의 왕자 레오2,34005,216532000,2012
172,인피니트 콘서트 세컨드 인베이전 에볼루션 더 무비 3D,32597,338949500,2012
173,코난: 암흑의 시대,29508,223710500,2012
174,복숭아나무,29323,206383612,2012
175,스탠리의 도시락 ,26050,173244000,2012
176,스트리트 댄스 2: 라틴배틀,23667,169554500,2012
177,머신건 프리처,21336,156374000,2012
178,휴고,21203,224779500,2012
179,미운오리새끼,19628,131441000,2012
180,비정한 도시 감독판,19336,139067057,2012
181,파괴자들,19181,136807068,2012
182,돌아온 파워레인저 미라클포스,17287,119120000,2012
183,데인저러스 메소드,17126,126716800,2012
184,두레소리,15343,99796000,2012
185,"봄, 눈",15116,104100500,2012
186,두 개의 문,12310,79229600,2012
187,런던 블러바드,11249,76814500,2012
188,아티스트,10884,78824000,2012
189,내 인생의 마지막 변화구 ,10359,71611000,2012
190,우리도 사랑일까,8732,69693500,2012
191,웨딩스캔들,8223,51916500,2012
192,여성다큐멘터리스트-반이다1,8162,60071500,2012
193,익스트림 No.13,7275,53957516,2012
194,레이드 : 첫번째 습격,7227,53076500,2012
195,아메리칸 파이: 19금 동창회,6673,48171500,2012
196,벨 아미,5000,35000000,2012
197,다른나라에서,4820,36271400,2012
198,서태지 8집: 398일의 기록,4613,37405500,2012
199,"그 시절, 우리가 좋아했던 소녀",4540,31398500,2012
200,아워 이디엇 브라더 ,4474,35738032,2012
201,그레이브 인카운터,4396,30577500,2012
202,럼 다이어리,4309,31265500,2012
203,두 번의 결혼식과 한 번의 장례식,4168,32958200,2012
204,나이트폴,3751,27523000,2012
205,코드네임 제로니모,3408,24437000,2012
206,장화신은 고양이 디 오리지널,3255,21389000,2012
207,하늘이 보내준 딸,3109,20176000,2012
208,말하는 건축가,2686,20851400,2012
209,터치,1891,12964000,2012
210,아이언 스카이,1628,11396000,2012
211,I AM,1575,11684500,2012
212,달팽이의 별,1571,9514500,2012
213,내가 고백을 하면,1352,9464000,2012
214,케빈에 대하여,1149,9389000,2012
215,오페라의 유령 : 25주년 특별 공연,998,5057000,2012
216,블루 발렌타인,827,6824000,2012
217,비지터,818,4908000,2012
218,종착역,752,1509000,2012
