,제목,관객수,매출액,연도
0,도둑들,12962405,93516635500,2012
1,"광해, 왕이 된 남자",12272545,88604681769,2012
2,어벤져스,7054219,59393730065,2012
3,늑대소년,6610176,46290900000,2012
4,다크 나이트 라이즈,6371547,47413482500,2012
5,바람과 함께 사라지다,4859883,34276270161,2012
6,어메이징 스파이더맨,4842933,41082705735,2012
7,범죄와의 전쟁: 나쁜놈들 전성시대,4649728,36029424500,2012
8,내 아내의 모든 것,4581363,34096829000,2012
9,연가시,4491539,32005681164,2012
10,건축학개론,4096344,30119366500,2012
11,댄싱퀸,4017919,29840354000,2012
12,부러진 화살,3395654,25470114000,2012
13,맨 인 블랙 3,3377362,27279631070,2012
14,레미제라블,3209392,23423958000,2012
15,26년,2885418,20723886645,2012
16,내가 살인범이다,2727965,20379124500,2012
17,브레이킹 던 part2,2637296,18787700565,2012
18,후궁 : 제왕의 첩,2616848,19192923500,2012
19,호빗: 뜻밖의 여정,2604064,21710535066,2012
20,미션임파서블:고스트프로토콜,2525018,19471830000,2012
21,이웃사람,2426519,18036280869,2012
22,화차,2420438,18336699500,2012
23,007 스카이폴,2355557,17337443500,2012
24,테이큰 2,2296886,17493879053,2012
25,배틀쉽,2238357,16523311500,2012
26,장화신은 고양이,2044469,17341203000,2012
27,타워,2003987,14581279500,2012
28,코리아,1863848,13391789000,2012
29,나의 PS 파트너 ,1735321,13155898616,2012
30,언터처블: 1%의 우정,1706803,12634791000,2012
31,반창꼬,1704840,12284364719,2012
32,공모자들,1630276,12125008000,2012
33,아이스 에이지 4: 대륙 이동설,1608801,12028847704,2012
34,마다가스카3 : 이번엔 서커스다!,1603116,12354588500,2012
35,하울링,1572318,11500200000,2012
36,용의자X,1544187,11189918000,2012
37,러브픽션,1531158,11799805000,2012
38,새미의 어드벤쳐 2,1436499,10718768500,2012
39,차형사,1339421,9697147796,2012
40,은교,1334609,9831509000,2012
41,간첩,1302777,9267971500,2012
42,간기남,1241949,9324664500,2012
43,토탈 리콜,1214741,8921508000,2012
44,메리다와 마법의 숲,1212489,8900531000,2012
45,R2B: 리턴투베이스,1186146,8492809871,2012
46,돈의 맛,1160855,8743451111,2012
47,잃어버린 세계를 찾아서 2: 신비의 섬,1141670,9727679000,2012
48,회사원,1103516,8266609000,2012
49,본 레거시,1012442,7390177500,2012
50,가문의 영광5 - 가문의 귀환,1008632,7222676500,2012
51,가디언즈,989869,7618783500,2012
52,시체가 돌아왔다,978755,7301527500,2012
53,점박이:한반도의 공룡3D,964193,8948186500,2012
54,돈 크라이 마미,963830,6741693099,2012
55,프로메테우스,960793,8510911099,2012
56,점쟁이들,947501,6689665500,2012
57,스텝업4 : 레볼루션,942377,7076241500,2012
58,원더풀 라디오,918113,6763494500,2012
59,셜록홈즈 : 그림자 게임,909852,6858485000,2012
60,타이탄의 분노,884948,7532672500,2012
61,미확인 동영상 : 절대클릭금지,852063,5832816500,2012
62,존 카터: 바숨 전쟁의 서막 ,837054,7215590500,2012
63,디스 민즈 워,833160,6374232500,2012
64,나는 왕이로소이다,763097,5274363904,2012
65,토르: 마법망치의 전설,724667,5267720000,2012
66,스노우 화이트 앤 더 헌츠맨,622661,4542861000,2012
67,퍼펙트 게임,616845,4622883500,2012
68,주먹왕 랄프,606076,4392853000,2012
69,헝거게임: 판엠의 불꽃,603979,4451721000,2012
70,피에타,592343,4274347500,2012
71,미쓰GO,588453,4281878500,2012
72,백설공주,577501,4043450500,2012
73,다크 섀도우,574550,4269872500,2012
74,파파,564653,3858274000,2012
75,루퍼,563228,4199305000,2012
76,맨 온 렛지,550217,4114408000,2012
77,마이 웨이,548225,4115324000,2012
78,레지던트 이블 5 : 최후의 심판,543983,4645478500,2012
79,명탐정 코난: 11번째 스트라이커,502037,3217285500,2012
80,아부의 왕,476830,3372297500,2012
81,락아웃: 익스트림미션,458058,3345216000,2012
82,페이스메이커,437330,3248193500,2012
83,익스펜더블 2,434080,3138056228,2012
84,밀레니엄 : 여자를 증오한 남자들,428455,3383622000,2012
85,두 개의 달,419024,2899976026,2012
86,늑대소년-확장판,404467,2803674000,2012
87,크로니클,379358,2851209500,2012
88,타이타닉,353303,4287500000,2012
89,프렌즈: 몬스터섬의비밀 ,350869,2576214500,2012
90,링컨: 뱀파이어 헌터,341959,2725209500,2012
91,극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,326254,1256290750,2012
92,음치 클리닉 ,318523,2131957500,2012
93,남영동1985,316303,2251050101,2012
94,무서운 이야기,313949,2323582066,2012
95,늑대아이,307101,2119032761,2012
96,미드나잇 인 파리,294768,2174640598,2012
97,위험한 관계,292407,2082771730,2012
98,더 그레이,291447,2193925500,2012
99,모모와 다락방의 수상한 요괴들,285356,1892212500,2012
100,로렉스,284988,2070516500,2012
101,네버엔딩 스토리,275111,2047146000,2012
102,우리는 동물원을 샀다,268124,1941623500,2012
103,빌리와 용감한 녀석들 3D,264037,1740624500,2012
104,가비,263441,1919688000,2012
105,짱구는 못말려 극장판: 태풍을 부르는 황금스파이 대작전,256762,1704206500,2012
106,19곰 테드,253948,1938434293,2012
107,니코: 산타비행단의 모험,240701,1657777500,2012
108,서약,235169,1778008000,2012
109,강철대오:구국의 철가방,224454,1557580656,2012
110,극장판 포켓몬스터 베스트위시「메로엣타의 반짝반짝 음악회」,222138,744665250,2012
111,잠베지아: 신비한 나무섬의 비밀,218822,1574430000,2012
112,캐빈 인 더 우즈,214883,1612658500,2012
113,나는 공무원이다,211831,1495585000,2012
114,오싹한 연애,203830,1512471000,2012
115,자칼이 온다,194562,1325783000,2012
116,테드: 황금도시 파이티티를 찾아서,182160,1279998000,2012
117,업사이드 다운,170858,1201097645,2012
118,해피 피트 2,168963,1347875500,2012
119,언더월드 4: 어웨이크닝,166405,1545146500,2012
120,라이온 킹,164212,1760728000,2012
121,세이프 하우스,147544,1108336000,2012
122,극장판 도라에몽: 진구와 기적의 섬 애니멀 어드벤처,144285,931958000,2012
123,다크아워,142322,1165058500,2012
124,미녀와 야수,137510,1419416500,2012
125,아르고,136102,969566000,2012
126,원 데이,132572,960717000,2012
127,코알라 키드 : 영웅의 탄생,126471,902584000,2012
128,더 레이븐,121934,894568500,2012
129,리미트리스,113340,811196000,2012
130,사다코 3D : 죽음의 동영상,105093,978363532,2012
131,액트 오브 밸러: 최정예 특수부대 ,100553,753024000,2012
132,5백만불의 사나이,100447,709674000,2012
133,고스트 라이더 : 복수의 화신,95415,738968500,2012
134,워 호스,89751,644980000,2012
135,우먼 인 블랙,89268,656818000,2012
136,철의 여인,89054,660271000,2012
137,극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,87457,585213000,2012
138,스타워즈:에피소드1 보이지 않는 위험 ,87258,972095500,2012
139,인류멸망 보고서,86897,625257000,2012
140,락 오브 에이지,82975,597884996,2012
141,페이스 블라인드,80640,599892669,2012
142,팅커 테일러 솔저 스파이,80517,596410500,2012
143,577 프로젝트,80207,575932000,2012
144,콜드 라잇 오브 데이,79310,569422552,2012
145,초한지 - 천하대전,79010,589285500,2012
146,극장판 썬더일레븐GO : 궁극의 우정 그리폰,78155,531756000,2012
147,피라냐 3DD,72428,627417000,2012
148,레전드 오브 래빗,69784,477734000,2012
149,조조-황제의 반란,69159,491300000,2012
150,로우리스: 나쁜 영웅들,62124,436525666,2012
151,나우이즈굿 ,57769,394198000,2012
152,철가방 우수氏,57000,389880000,2012
153,하이힐을 신고 달리는 여자,53025,406416500,2012
154,살인소설,50712,369817176,2012
155,파라노말 액티비티4,49347,348430000,2012
156,극장판 파워레인저: 캡틴포스 VS 미라클포스 199 히어로 대결전 ,49313,335019000,2012
157,콘트라밴드,48765,365073500,2012
158,더 씽,46861,339293089,2012
159,헤이와이어,46427,326957324,2012
160,인시디어스,44805,319722500,2012
161,베스트 엑조틱 메리골드 호텔,43199,305609500,2012
162,킹메이커,41175,316024500,2012
163,앨빈과 슈퍼밴드3,40231,267356000,2012
164,저스티스,40129,297538000,2012
165,스페이스 독,37954,254309000,2012
166,극장판 포켓몬스터 베스트 위시 「비크티니와 흑의 영웅 제크로무」,37126,254487000,2012
167,프랑켄위니,36577,305341500,2012
