,제목,관객수,매출액,연도
137,무서운 이야기 3 : 화성에서 온 소녀,91294,730663000,2016
138,로빈슨 크루소,89667,692478700,2016
139,헤이트풀8,89153,739082400,2016
140,루돌프와 많이있어,87785,667269600,2016
141,크리미널,86108,688828381,2016
142,바스티유 데이,85868,684731000,2016
143,피터와 드래곤,83866,672801100,2016
144,죽여주는 여자,81821,593072700,2016
145,걷기왕,75260,568665575,2016
146,대니쉬 걸,75042,589209484,2016
147,다이노X 탐험대,74608,579808100,2016
148,포켓몬 더 무비 XY 후파: 광륜의 초마신,72895,531249200,2016
149,오 마이 그랜파,72335,578277032,2016
150,로스트 인 더스트,70485,549541634,2016
151,라스트 위치 헌터,69706,568416800,2016
152,언더월드: 블러드 워,67983,534209400,2016
153,엽기적인 그녀 2,67721,528347400,2016
154,카페 소사이어티,64750,515519263,2016
155,이퀄스,64261,482925800,2016
156,룸,63075,503456600,2016
157,어카운턴트,60701,480838428,2016
158,선생님의 일기,59172,402880100,2016
159,하이큐!! 끝과 시작,58354,418731000,2016
160,올레,58289,461241800,2016
161,두 남자,55960,425442121,2016
162,스티브 잡스,55960,431275907,2016
163,세상에서 고양이가 사라진다면,55543,385928900,2016
164,리틀메딕: 몸속탐험대,54351,432643900,2016
165,아이엠스타 뮤직어워드,53924,365176500,2016
166,파라노말 액티비티: 더 고스트 디멘션,52713,436608400,2016
167,극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드,52009,410941800,2016
168,번개맨,51268,387551100,2016
169,그물,50192,379135800,2016
170,오베라는 남자,49973,389564188,2016
171,드레스메이커,49037,389127100,2016
172,포레스트: 죽음의 숲,47878,371517862,2016
173,나의 산티아고,47477,366188200,2016
174,극장판 도라에몽: 신 진구의 버스 오브 재팬,46872,361318900,2016
175,마이 리틀 자이언트,46008,369871900,2016
176,트리플 9,45005,347827300,2016
177,목숨 건 연애,44517,334059800,2016
178,더 보이,43431,344104500,2016
179,블레어 위치,43236,344830500,2016
180,하드코어 헨리,43002,372145256,2016
181,BIFAN2016 판타스틱 단편 걸작선 1,42884,257304000,2016
182,태풍이 지나가고,42679,359560572,2016
183,백설공주 : 사라진 아빠를 찾아서,39346,309081200,2016
184,데몰리션,37798,308975921,2016
185,바다 탐험대 옥토넛 시즌4: 늪지탐험선K,36025,215643000,2016
186,트릭,35660,277624300,2016
187,나의 그리스식 웨딩 2,35577,267465800,2016
188,슈퍼 프렌즈,35303,260524100,2016
189,트럼보,34732,275503900,2016
190,스푹스:MI5,34212,264658500,2016
191,너의 이름은.,34173,293957000,2016
192,미스 사이공 : 25주년 특별 공연,32776,636332600,2016
193,엽문3: 최후의 대결,31278,263469600,2016
194,냉정과 열정사이,31218,249226500,2016
195,본 투 비 블루,29066,235459800,2016
196,잔예 - 살아서는 안되는 방,28432,234810200,2016
197,비포 선라이즈,28177,228359600,2016
198,극장판 프랭키와 친구들: 생명의 나무,27302,215317300,2016
199,33,27155,211291000,2016
200,마음이 외치고 싶어해,26454,212015200,2016
201,일사각오,25778,190943300,2016
202,"헤일, 시저!",24742,196852200,2016
203,갤럭시 히어로즈: 라쳇 앤 클랭크,24037,172211500,2016
204,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,23979,143016500,2016
205,카페 6,23283,157482500,2016
206,"나, 다니엘 블레이크",21047,170639900,2016
207,빌리와 용감한 녀석들: 치킨 히어로,21039,144180700,2016
208,대결,20784,159416900,2016
209,극장판 유희왕 더 다크 사이드 오브 디멘션즈,20271,159418500,2016
210,시크릿 인 데어 아이즈,19726,148610900,2016
211,인어공주 : 새로운 모험의 시작,19639,156242700,2016
212,브루클린,19408,157301700,2016
213,머니 몬스터,19114,133873500,2016
214,플래그 더 문,18373,138991800,2016
215,하이큐!! 승자와 패자,16861,114818000,2016
216,무한대를 본 남자,16026,118560419,2016
217,해리포터와 죽음의 성물2,15724,120196000,2016
218,뉴 스텝업: 어반댄스,15502,96125200,2016
219,스노우타임,15323,119962500,2016
220,미스터 캣,14307,115572850,2016
221,잉글리쉬 페이션트,13167,107821000,2016
222,순종,12967,89295300,2016
223,쿠보와 전설의 악기,12558,87327454,2016
224,뽀로로 극장판 컴퓨터 왕국 대모험,12243,96435100,2016
225,테일 오브 테일즈,10755,82711000,2016
226,에곤 쉴레: 욕망이 그린 그림,10301,77697900,2016
227,동급생,10030,73278500,2016
228,킹 오브 프리즘 (바이 프리티 리듬),9607,70720000,2016
229,사랑하기 때문에,9066,73236000,2016
230,태양 아래,8807,52724200,2016
231,잡아야 산다,8688,61739700,2016
232,파워배틀 와치카 미니카 배틀리그: 불꽃의 질주,8317,66405000,2016
233,토마스와 친구들: 용감한 기관차와 괴물소동,7282,57068800,2016
234,호비와 동화나라 대모험,6843,49320500,2016
235,레고 무비,6631,53148300,2016
236,죽은 시인의 사회,6617,50843100,2016
237,극장판 프리파라 모두 모여라! 프리즘☆투어즈,6041,50719300,2016
238,신밧드 더 무비,5751,42597700,2016
239,레터스 투 갓,5307,37149000,2016
240,도성풍운 3,4977,26250000,2016
241,세기의 매치,4575,32970000,2016
242,파이트 클럽 ,4026,30119700,2016
243,45년 후,3846,29570800,2016
244,당신자신과 당신의 것,3378,25168000,2016
245,키즈모노가타리 II : 열혈편,3284,25028000,2016
246,4등,2973,23125800,2016
247,향수 : 어느 살인자의 이야기,2922,17680500,2016
248,나쁜놈은 죽는다,2626,19474000,2016
249,뚜르: 내 생애 최고의 49일,2620,20784000,2016
250,더 웨이브,2510,18739700,2016
251,유스,2412,16436800,2016
252,디시에르토,2274,16488100,2016
253,캡틴 판타스틱,2260,13137000,2016
254,썸니아,2259,18527721,2016
255,커튼콜,2111,15156000,2016
256,불의 전차,1951,12462000,2016
257,글루미 선데이,1874,13707500,2016
258,립반윙클의 신부,1862,13441100,2016
259,라스트 홈,1778,12848200,2016
260,"색, 계",1735,12848500,2016
261,돈 맛,1729,8419000,2016
262,몽키킹2: 서유기 여정의 시작,1670,7070000,2016
263,드래곤 네스트: 평화 기사단 VS 블랙 드래곤,1598,12692000,2016
264,세븐,1167,8597900,2016
265,바후발리 : 더 비기닝,1099,9282000,2016
266,연애담,1065,8430000,2016
267,인천상륙작전 : 익스텐디드 에디션(확장판),853,5915000,2016
