,제목,관객수,매출액,연도
0,극한직업,16236130,139410421566,2019
1,어벤져스: 엔드게임,13897147,121819533790,2019
2,겨울왕국 2,13367899,111585165720,2019
3,알라딘,12505404,106532065369,2019
4,기생충,10055634,85642313435,2019
5,엑시트,9393828,78992804152,2019
6,스파이더맨: 파 프롬 홈,8006004,68880615720,2019
7,백두산,6290255,52904060770,2019
8,캡틴 마블,5757032,51110013133,2019
9,조커,5229027,45215057210,2019
10,봉오동 전투,4769985,40457107138,2019
11,라이온 킹,4702875,41180712760,2019
12,나쁜 녀석들: 더 무비,4563226,39472422224,2019
13,82년생 김지영,3669615,30232403930,2019
14,분노의 질주: 홉스&쇼,3639633,32082876653,2019
15,돈,3387181,28854773362,2019
16,토이 스토리 4,3376657,28577412110,2019
17,악인전,3351664,29036128210,2019
18,가장 보통의 연애,2914780,24817165910,2019
19,말모이,2789559,23533653820,2019
20,시동,2521850,21201303400,2019
21,증인,2510702,20275691091,2019
22,블랙머니,2475654,20841033730,2019
23,터미네이터: 다크 페이트,2394830,20033853470,2019
24,사바하,2390310,19944406414,2019
25,타짜: 원 아이드 잭,2213674,19548074954,2019
26,신의 한 수: 귀수편,2153037,18436605950,2019
27,알리타: 배틀 엔젤,1912464,18211975957,2019
28,내안의 그놈,1889839,16198081557,2019
29,뺑반,1802140,15025029078,2019
30,변신,1785587,15270689885,2019
31,주먹왕 랄프 2: 인터넷 속으로,1746568,13818451053,2019
32,걸캅스,1620828,13759668614,2019
33,사자,1593556,12770280305,2019
34,아쿠아맨,1512318,13375401223,2019
35,드래곤 길들이기 3,1481889,12138177756,2019
36,어스,1459295,12452657524,2019
37,나의 특별한 형제,1442032,11829246424,2019
38,말레피센트 2,1436099,12117872550,2019
39,퍼펙트맨,1229858,10241984670,2019
40,유열의 음악앨범,1223836,10036891110,2019
41,포드 V 페라리,1205254,10581646680,2019
42,생일,1184873,9784803090,2019
43,"힘을 내요, 미스터 리",1142605,9645685276,2019
44,항거:유관순 이야기,1138093,9157749011,2019
45,장사리 : 잊혀진 영웅들,1120275,8870559190,2019
46,마이펫의 이중생활 2,1097777,8385848855,2019
47,롱 리브 더 킹: 목포 영웅,1081381,9131536110,2019
48,쥬만지: 넥스트 레벨,1045218,8695895150,2019
49,천문: 하늘에 묻는다,964753,7801494950,2019
50,나랏말싸미,937989,7723800053,2019
51,존 윅 3: 파라벨룸,921943,7811592118,2019
52,엑스맨: 다크 피닉스,857259,7600607280,2019
53,맨 인 블랙: 인터내셔널,842154,7384440820,2019
54,레드슈즈,773268,5922711390,2019
55,뽀로로 극장판 보물섬 대모험,747933,5749066880,2019
56,캣츠,728328,6093167690,2019
57,보헤미안 랩소디,688641,5997642880,2019
