,제목,관객수,매출액,연도
0,남산의 부장들,4739175,41129262110,2020
1,다만 악에서 구하소서,4352756,38566974800,2020
2,반도,3809819,33054728870,2020
3,히트맨,2396652,20528241900,2020
4,테넷,1984480,18323473010,2020
5,백두산,1949993,16826162150,2020
6,#살아있다,1900179,15947198820,2020
7,강철비2: 정상회담,1790010,14649263610,2020
8,담보,1710353,14679804330,2020
9,닥터 두리틀,1596772,13381212390,2020
10,삼진그룹 영어토익반,1565213,13936653240,2020
11,도굴,1522046,13751660410,2020
12,정직한 후보,1510848,12634259700,2020
13,클로젯,1259885,10868811860,2020
14,오케이 마담,1225184,10949696110,2020
15,해치지않아,1201320,10084422680,2020
16,천문: 하늘에 묻는다,1017808,8604905370,2020
17,결백,891205,7838858380,2020
18,작은 아씨들,829916,6992480410,2020
19,1917,824227,7428156080,2020
20,미드웨이,812811,7055766970,2020
21,시동,788672,6843204200,2020
22,지푸라기라도 잡고 싶은 짐승들,590685,5119733040,2020
23,미스터 주: 사라진 VIP,590332,4970105760,2020
24,나쁜 녀석들: 포에버,545690,4861451640,2020
25,국제수사,532419,4461061980,2020
26,침입자,528791,4786857300,2020
27,인비저블맨,523367,4543761480,2020
28,스타워즈: 라이즈 오브 스카이워커,494301,4586015370,2020
29,스파이 지니어스 ,436883,3576318700,2020
30,이웃사촌,423559,3638163360,2020
31,온워드: 단 하루의 기적,412639,3550338520,2020
32,소리도 없이,397682,3508279180,2020
33,버즈 오브 프레이(할리 퀸의 황홀한 해방),393224,3473214670,2020
34,원더 우먼 1984,390866,3488631460,2020
35,겨울왕국 2,354616,3020432830,2020
36,오! 문희,330295,2652419120,2020
37,그린랜드,322311,2756001750,2020
38,위대한 쇼맨,292052,1806530000,2020
39,런,276047,2538829420,2020
40,내가 죽던 날,231047,2117747510,2020
41,뮬란,226051,1990815080,2020
42,프리즌 이스케이프,213233,1822648660,2020
43,신비아파트 극장판 하늘도깨비 대 요르문간드,200977,1586718010,2020
44,기생충,197025,1321289970,2020
45,조제,186647,1673427570,2020
46,사라진 시간,183497,1634177740,2020
47,검객,179180,1533672380,2020
48,밤쉘: 세상을 바꾼 폭탄선언,175846,1489966800,2020
49,알라딘,164483,1150966080,2020
50,인셉션,147309,1245578360,2020
51,미스터트롯: 더 무비,143869,1237016400,2020
52,트롤: 월드 투어,142134,1094109280,2020
53,라라랜드,129473,757179760,2020
54,애니멀 크래커,126771,1006509640,2020
55,타오르는 여인의 초상,125228,1042879528,2020
56,다크 워터스 ,124970,1077678440,2020
57,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,118286,963315850,2020
58,브레이크 더 사일런스: 더 무비,116233,1020794500,2020
59,언힌지드,114725,991829120,2020
60,수퍼 소닉,113580,891416390,2020
61,포드 V 페라리,111187,1030523300,2020
62,언더워터,105265,903381140,2020
