,제목,관객수,매출액,연도
0,택시운전사,12143304,95545284949,2017
1,신과함께-죄와 벌,8536277,68327061432,2017
2,공조,7790214,63558111526,2017
3,스파이더맨: 홈 커밍,7246799,59030018920,2017
4,범죄도시,6858989,56143179749,2017
5,군함도,6545918,50168516368,2017
6,청년경찰,5610249,44037221416,2017
7,더 킹,5290359,43262261835,2017
8,미녀와 야수,5118094,41965874779,2017
9,킹스맨: 골든 서클,4930598,40864733736,2017
10,토르: 라그나로크,4833785,39056035195,2017
11,강철비,4012642,31981504566,2017
12,꾼,4010326,31255441795,2017
13,남한산성,3835396,31131267892,2017
14,미이라,3672843,30389672978,2017
15,분노의 질주: 더 익스트림,3650574,29959541348,2017
16,너의 이름은.,3550083,28554819656,2017
17,슈퍼배드 3,3303950,24068023319,2017
18,아이 캔 스피크,3244290,25275505186,2017
19,캐리비안의 해적: 죽은 자는 말이 없다,3031761,24826228822,2017
20,프리즌,2923871,23727775987,2017
21,가디언즈 오브 갤럭시 VOL. 2,2728274,23394767886,2017
22,덩케르크,2726936,23868020248,2017
23,살인자의 기억법,2644208,21267588892,2017
24,트랜스포머: 최후의 기사,2604481,21427823628,2017
25,보안관,2574880,20746594609,2017
26,조작된 도시,2488279,19947338687,2017
27,보스 베이비,2437099,18833343904,2017
28,재심,2404072,19142882637,2017
29,박열,2342545,17973499295,2017
30,모아나,2271584,17757586607,2017
31,마스터,2203663,18202267400,2017
32,로건,2161149,18328045723,2017
33,원더 우먼,2146599,17322153986,2017
34,겟 아웃,2114881,17254553175,2017
35,혹성탈출: 종의 전쟁,2033709,16703998778,2017
36,1987,1933935,15188828037,2017
37,애나벨 : 인형의 주인,1911102,15341108964,2017
38,노무현입니다,1824155,14327146912,2017
39,저스티스 리그,1767522,14482377395,2017
40,킬러의 보디가드,1700253,13845557100,2017
41,콩: 스컬 아일랜드,1676954,13884405783,2017
42,23 아이덴티티,1666462,13531657035,2017
43,임금님의 사건수첩,1621416,12558905823,2017
44,부라더,1468840,11616215798,2017
45,기억의 밤,1379248,10596259260,2017
46,해피 데스데이,1378252,10972285502,2017
47,브이아이피,1348156,10768404401,2017
48,특별시민,1344262,10362297345,2017
49,에이리언: 커버넌트,1294411,10641631864,2017
50,장산범,1293802,10245434183,2017
51,해빙,1199172,9861701322,2017
52,악녀,1196177,9652723744,2017
53,하루,1120744,9005181442,2017
54,지오스톰,1022637,8431747114,2017
55,라라랜드,1017214,8447412662,2017
56,스타워즈: 라스트 제다이,941164,8469455261,2017
57,불한당: 나쁜 놈들의 세상,894999,7215446625,2017
58,그것,874633,7224379107,2017
59,오리엔트 특급 살인,860259,6610100163,2017
60,대립군,824332,6182674602,2017
61,베이비 드라이버,813083,6618128914,2017
62,위대한 쇼맨,811002,6626394200,2017
63,뽀로로 극장판 공룡섬 대모험,769292,5812418600,2017
64,공각기동대 : 고스트 인 더 쉘,750396,6175693784,2017
65,레지던트 이블: 파멸의 날,748051,6278303765,2017
66,패신저스,665884,5450926418,2017
67,트롤,660458,4895569600,2017
68,씽,657703,4993106300,2017
69,아빠는 딸,635757,4965975895,2017
70,컨택트,590732,4857000521,2017
71,47 미터,584558,4641998757,2017
72,메리와 마녀의 꽃,528426,4018499439,2017
73,발레리안: 천 개 행성의 도시,497734,3915311608,2017
74,얼라이드,483377,3970613579,2017
75,침묵,477653,3797619564,2017
76,카3: 새로운 도전,473081,3487363201,2017
77,트리플 엑스 리턴즈,468033,3909107995,2017
78,리얼,458231,3285457430,2017
79,그레이트 월,455511,3969358158,2017
80,라이프,449651,3709337410,2017
81,너의 췌장을 먹고 싶어,434553,3466583400,2017
82,반드시 잡는다,434338,3233249772,2017
83,명탐정 코난:진홍의 연가,428489,3108174300,2017
84,원라인,424019,3242700433,2017
85,히든 피겨스,419829,3345195133,2017
86,터닝메카드W: 블랙미러의 부활,418344,3130874900,2017
87,스머프: 비밀의 숲,417069,3052638600,2017
88,극장판 포켓몬스터 너로 정했다!,414061,3107408700,2017
89,킹 아서: 제왕의 검,413468,3356825655,2017
90,로그 원: 스타워즈 스토리,403040,3756774400,2017
91,아메리칸 메이드,395631,3134789145,2017
92,넛잡 2,385655,2896524700,2017
93,보통사람,375210,2898371523,2017
94,대장 김창수,371387,2810573615,2017
95,눈의 여왕 3: 눈과 불의 마법대결,354648,2617721800,2017
96,러빙 빈센트,352055,2791135761,2017
97,석조저택 살인사건,343847,2754440486,2017
98,어쌔신 크리드,341505,2784950921,2017
99,플립,339974,2700295700,2017
100,몬스터 패밀리,337459,2496698700,2017
101,7호실,335247,2589178439,2017
102,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,324485,2350857000,2017
103,사랑하기 때문에,319911,2503752240,2017
104,블레이드 러너 2049,308058,2650218565,2017
105,싱글라이더,306465,2330731021,2017
106,희생부활자,300737,2356707035,2017
107,빅풋 주니어,291406,2055902700,2017
108,옥자,278382,2104082500,2017
109,내 사랑,259105,1924595725,2017
110,목소리의 형태,257933,2023971014,2017
111,존 윅 - 리로드,246431,1988791000,2017
112,판도라,245374,1946078100,2017
113,공범자들,231866,1814509000,2017
114,미옥,229966,1834745864,2017
115,어느날,229179,1808976082,2017
116,딥,213577,1654870300,2017
117,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,209333,1539103800,2017
118,어쌔신: 더 비기닝,194100,1506303865,2017
119,발레리나,166486,1246426600,2017
120,"나는 내일, 어제의 너와 만난다",165320,1278783700,2017
121,50가지 그림자: 심연,159525,1331443900,2017
122,채비,151177,1081639464,2017
123,더 큐어,148820,1242149200,2017
124,레고 닌자고 무비,146916,1086060600,2017
125,극장판 도라에몽: 진구의 남극 꽁꽁 대모험,142462,1017336800,2017
126,비정규직 특수요원,140123,1078229200,2017
127,핵소 고지,139350,1052760600,2017
128,이프 온리,135386,1077539700,2017
129,아토믹 블론드,134358,1012404092,2017
130,극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,126058,975265400,2017
131,극장판 또봇: 로봇군단의 습격,125771,966734600,2017
132,로마의 휴일,121434,895671576,2017
133,문라이트,117809,949053295,2017
134,레고 배트맨 무비,117669,943532605,2017
135,시간위의 집,115370,915810200,2017
136,눈길,107693,817896100,2017
137,예수는 역사다,105662,765749300,2017
138,명탐정 코난: 에피소드 원-작아진 명탐정,102472,798992100,2017
139,베이블레이드 버스트 갓 : 갓 발키리의 탄생,101548,767159700,2017
140,여교사,99496,818209760,2017
141,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,96286,732857200,2017
142,직쏘,95323,830247400,2017
143,다크타워: 희망의 탑,93343,733051275,2017
144,저수지 게임,90838,713496700,2017
145,딥워터 호라이즌,90172,700492543,2017
146,루시드 드림,86535,642469200,2017
147,인비저블 게스트,85168,681996800,2017
148,슈퍼 빼꼼: 스파이 대작전,82414,592487500,2017
149,원더,77225,598808300,2017
150,마이펫 오지,77139,574924150,2017
151,지랄발광 17세,76199,599619100,2017
152,파도가 지나간 자리,72795,562790100,2017
153,다크 나이트,71795,592531900,2017
154,라이언,70530,543439900,2017
155,루돌프와 많이있어,69350,523826700,2017
156,몬스터 콜,68077,533175800,2017
157,파워레인져스: 더 비기닝,68073,537223061,2017
158,너와 100번째 사랑,63403,497753000,2017
159,더 서클,62702,511795500,2017
160,패트리어트 데이,59464,467588618,2017
161,파리로 가는 길,59174,465524500,2017
162,"서서평, 천천히 평온하게",59147,434172700,2017
163,드래곤 스펠: 마법 꽃의 비밀,56523,421077200,2017
164,사일런스,56192,419133300,2017
165,노 게임 노 라이프 -제로-,56147,463130200,2017
166,꼬마참새 리차드: 아프리카 원정대,55255,419150700,2017
167,오즈: 신기한 마법가루,54699,403547100,2017
168,바다 탐험대 옥토넛 시즌4: 더 파이널,54200,352602500,2017
169,더 크리스마스,51563,384966400,2017
170,극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지 ,50531,384799200,2017
171,나의 붉은고래,48076,375476600,2017
172,매혹당한 사람들,45403,342235800,2017
173,오두막,45210,340843100,2017
174,극장판 소드 아트 온라인 -오디널 스케일-,42492,324579500,2017
175,언더더씨,42284,331556600,2017
176,잃어버린 도시 Z,41839,324582240,2017
177,튤립 피버,41420,330535849,2017
178,뷰티풀 투모로우,38509,336479100,2017
179,"당신, 거기 있어줄래요",37714,311246800,2017
180,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,37640,281975500,2017
181,위시 어폰,37511,295114000,2017
182,밤의 해변에서 혼자,37248,286930400,2017
183,극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~,36638,283801400,2017
184,래빗 스쿨,34165,256483800,2017
185,다크 하우스,33716,274815100,2017
186,리틀 프린세스 소피아 : 신비한 섬,33421,231988500,2017
187,극장판 쿠로코의 농구 라스트 게임,32486,236440500,2017
188,이모티: 더 무비,31281,227675900,2017
189,리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국,30934,217108500,2017
190,윈드 리버,30384,229224800,2017
191,7번째 내가 죽던 날,29832,225866400,2017
192,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,29410,225694600,2017
193,더 테이블,27504,214871200,2017
194,원스,26884,215152600,2017
195,미스 슬로운,26868,208040500,2017
196,김광석,26853,209571700,2017
197,바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,25583,170880000,2017
198,"그래, 가족",25575,191283400,2017
199,데스노트: 더 뉴 월드,25346,194122963,2017
200,스페이스 비트윈 어스,25279,194940861,2017
201,반지의 제왕 : 두개의 탑 (확장판),24557,314722100,2017
202,마더!,24469,185498689,2017
203,파운더,23807,189272400,2017
204,걸 온 더 트레인,21212,165378600,2017
205,아기돼지 3형제와 매직램프,20127,160060500,2017
206,극장판 암살교실 : 365일의 시간,19121,141378000,2017
207,키드냅,19108,151097500,2017
208,꼬마돼지 베이브의 대모험,18311,136468700,2017
209,판타스틱 단편 걸작선 1,18000,108000000,2017
