,제목,관객수,매출액,연도
0,7번방의 선물,12791502,91321831670,2013
1,설국열차,9324005,66830863000,2013
2,관상,9111735,65849963000,2013
3,아이언맨 3,8981870,70659559500,2013
4,베를린,7147942,52225237637,2013
5,은밀하게 위대하게,6945786,48608590913,2013
6,변호인,5671236,40846586000,2013
7,숨바꼭질,5574255,39389999000,2013
8,더 테러 라이브,5571831,39782422317,2013
9,감시자들,5501802,39337319179,2013
10,월드 워 Z,5236267,38546920500,2013
11,신세계,4670899,34794039405,2013
12,박수건달,3887235,28302026569,2013
13,스파이,3417699,24392770805,2013
14,타워,3146870,22862794000,2013
15,그래비티,3119310,30246723100,2013
16,감기,3114186,21750622500,2013
17,토르: 다크 월드,3027852,22433441000,2013
18,레드: 더 레전드,2980221,21373985470,2013
19,친구 2,2955993,21699095513,2013
20,어바웃 타임,2831667,20730274000,2013
21,나우 유 씨 미 : 마술사기단,2697782,18998163869,2013
22,소원,2689917,18404879600,2013
23,레미제라블,2648117,19241046500,2013
24,퍼시픽 림,2530127,20387188512,2013
25,화이: 괴물을 삼킨 아이,2383755,17618346295,2013
26,컨저링,2255811,16301514277,2013
27,맨 오브 스틸,2178444,17060838898,2013
28,용의자,2165441,15547210500,2013
29,호빗: 스마우그의 폐허,2115080,16551866549,2013
30,몽타주,2085362,14930519000,2013
31,터보,1915852,13066190000,2013
32,연애의 온도,1851827,13718976446,2013
33,지.아이.조 2,1850057,14403936000,2013
34,분노의 질주: 더 맥시멈,1788290,13189948542,2013
35,공범,1761323,12303836882,2013
36,집으로 가는 길,1752842,12312481745,2013
37,전설의 주먹,1729179,12682591500,2013
38,파파로티,1696609,11700889500,2013
39,스타트렉 다크니스,1595113,12891633500,2013
40,라이프 오브 파이,1561928,15546127500,2013
41,오블리비언,1506930,11105410500,2013
42,다이하드: 굿 데이 투 다이,1431331,10776885500,2013
43,위대한 개츠비,1425720,10434779143,2013
44,런닝맨,1410405,9974472000,2013
45,미스터 고,1312429,9212605500,2013
46,깡철이,1203426,8536283462,2013
47,결혼전야,1200706,8362357219,2013
48,엘리시움,1191274,8896873000,2013
49,더 웹툰: 예고살인,1187153,8448658070,2013
50,웜 바디스,1161054,8300594624,2013
51,고령화 가족,1131915,8104097153,2013
52,헝거게임: 캣칭 파이어,1123764,7837813000,2013
53,더 울버린,1071464,7804714000,2013
54,동창생,1034431,6937853126,2013
55,에픽 : 숲속의 전설 ,961704,6624018500,2013
56,전국노래자랑,955876,6564096500,2013
57,슈퍼배드 2,948383,6510009000,2013
58,잭 더 자이언트 킬러,944816,7296802500,2013
59,크루즈 패밀리,926000,6453523000,2013
60,개구쟁이 스머프 2,909574,5919522000,2013
61,몬스터 호텔,871510,5993951500,2013
62,열한시,865540,6064105000,2013
63,뽀로로 극장판 슈퍼썰매 대모험,858503,6302674500,2013
