,제목,관객수,매출액,연도
0,베테랑,13394663,105027419150,2015
1,암살,12680841,98276700081,2015
2,어벤져스: 에이지 오브 울트론,10480622,88466988466,2015
3,국제시장,8865243,69501839734,2015
4,내부자들,7040248,56341770757,2015
5,사도,6229469,48721011601,2015
6,킹스맨 : 시크릿 에이전트,6119565,50289664295,2015
7,미션 임파서블: 로그네이션,6101830,48345964007,2015
8,연평해전,6029384,45475270930,2015
9,쥬라기 월드,5542929,47772255326,2015
10,검은 사제들,5434965,42352456592,2015
11,히말라야,5122606,39420241448,2015
12,인사이드 아웃,4933229,37742946836,2015
13,마션,4869668,39569756495,2015
14,조선명탐정 : 사라진 놉의 딸,3847218,30271032328,2015
15,매드 맥스: 분노의 도로,3824851,32742103562,2015
16,인턴,3595709,28401822548,2015
17,터미네이터 제니시스,3228801,26466464629,2015
18,분노의 질주: 더 세븐,3227706,26288058994,2015
19,스물,3033291,23475267386,2015
20,극비수사,2840926,22237094897,2015
21,앤트맨,2825260,23392408737,2015
22,스타워즈: 깨어난 포스,2803234,24149478540,2015
23,메이즈 러너: 스코치 트라이얼,2725386,21442907249,2015
24,빅 히어로,2724868,21365839865,2015
25,탐정 : 더 비기닝,2610476,20343043073,2015
26,미니언즈,2607038,18862874078,2015
27,스파이,2311490,18358532358,2015
28,악의 연대기,2187245,17318864232,2015
29,강남 1970,2152345,17400351099,2015
30,뷰티 인사이드,2043894,16074239731,2015
31,오늘의 연애,1879898,14821844187,2015
32,테이큰 3,1850103,15004684800,2015
33,007 스펙터,1795839,14104975630,2015
34,이미테이션 게임,1725153,13517948020,2015
35,샌 안드레아스,1703095,14324089352,2015
36,쎄시봉,1662059,13157603611,2015
37,더 폰,1578834,12204640968,2015
38,대호,1577967,12057983332,2015
39,위플래쉬,1552530,12367472045,2015
40,마다가스카의 펭귄,1479639,11217158559,2015
41,차이나타운,1470205,11975557667,2015
42,장수상회,1146344,8613999743,2015
43,간신,1103590,8894225410,2015
44,성난 변호사,1103439,8534115739,2015
45,박물관이 살아있다 : 비밀의 무덤,1072166,7948476106,2015
46,그놈이다,1041560,8063509952,2015
47,미쓰 와이프,974304,7297891566,2015
48,몬스터 호텔 2,958301,6997745585,2015
49,허삼관,936104,7258957469,2015
50,"님아, 그 강을 건너지 마오",913005,7217621800,2015
51,살인의뢰,842783,6893769237,2015
52,인시디어스 3,823004,6377364220,2015
53,손님,821011,6334538780,2015
54,하트 오브 더 씨,806191,6749743023,2015
55,헝거게임: 더 파이널,780461,5871649263,2015
56,기술자들,762874,6055483535,2015
57,신데렐라,708631,5441839200,2015
58,픽셀,679413,5369233947,2015
59,열정같은소리하고있네,649204,4721903402,2015
60,특종: 량첸살인기,607667,4686073118,2015
61,서부전선,599023,4678218500,2015
62,채피,566634,4562763354,2015
63,극장판 요괴워치: 탄생의 비밀이다냥!,539954,3809475400,2015
64,헬머니,516274,4068169272,2015
65,위험한 상견례 2,464689,3518126954,2015
66,도라에몽 : 스탠 바이 미,457219,3337660829,2015
67,명탐정 코난 : 화염의 해바라기,453614,3169983500,2015
68,순수의 시대,453489,3608354228,2015
69,오피스,424823,3326913730,2015
70,어린왕자,423276,3150365794,2015
71,"협녀, 칼의 기억",411484,3203003089,2015
72,무뢰한,405231,3185738831,2015
73,판타스틱 4,380984,2887394300,2015
74,내 심장을 쏴라,378639,2787472032,2015
75,뽀로로 극장판 컴퓨터 왕국 대모험,377172,2795321500,2015
76,소수의견,368157,2774630005,2015
77,그레이의 50가지 그림자,357173,2858147396,2015
78,경성학교: 사라진 소녀들,352966,2723693700,2015
79,홈,343897,2564890791,2015
80,에베레스트,327148,3004969148,2015
81,치외법권,323157,2488308805,2015
82,호빗: 다섯 군대 전투,319511,2783005741,2015
83,극적인 하룻밤,315384,2571131529,2015
84,스폰지밥 3D,294993,2230952600,2015
85,주피터 어센딩,292432,2546596179,2015
86,패딩턴,291889,2149071229,2015
87,뮨: 달의 요정,288653,2113924400,2015
88,도리화가,286910,2038279839,2015
89,런 올 나이트,284801,2254612595,2015
90,아메리칸 스나이퍼,281529,2274943438,2015
91,인서전트,281035,2145379889,2015
92,다이노 타임,271532,2021772000,2015
93,투모로우랜드,264366,2071645100,2015
94,백 투 더 비기닝,258163,1952125200,2015
95,함정,253998,2061999200,2015
96,스파이 브릿지,253381,1959661978,2015
97,이터널 선샤인,249210,2041606700,2015
98,언브로큰,238523,1862160192,2015
99,소셜포비아,235498,1846136863,2015
100,오즈의 마법사: 돌아온 도로시,223376,1632127000,2015
101,조선마술사,220185,1471753794,2015
102,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,216379,1533763300,2015
103,언프렌디드: 친구삭제,216311,1620844341,2015
104,포켓몬 더 무비 XY 후파: 광륜의 초마신,213880,1524761500,2015
105,연애의 맛,209741,1688963153,2015
106,하늘을 걷는 남자,208832,1953479553,2015
107,노아의 방주: 남겨진 녀석들,205006,1480489400,2015
108,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,195886,1438484900,2015
109,기생수 파트1,178130,1468746685,2015
110,레전드,175026,1397049930,2015
111,팬,174461,1334460392,2015
112,더 셰프,173779,1382027548,2015
113,버드맨,167989,1357898100,2015
114,19곰 테드 2,167009,1347054100,2015
115,괴물의 아이,166992,1237437916,2015
116,내부자들: 디 오리지널,159066,1228257715,2015
117,트랜스포터: 리퓰드,157188,1233590915,2015
118,아메리칸 울트라,154871,1247357295,2015
119,스누피: 더 피너츠 무비,144361,1101212000,2015
120,은밀한 유혹,143171,1120830247,2015
121,개를 훔치는 완벽한 방법,136244,1053513065,2015
122,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,135855,983534200,2015
123,워킹걸,133050,1064727479,2015
124,화장,130112,977867200,2015
125,나의 절친 악당들,125360,989128164,2015
126,워터 디바이너,117999,871152335,2015
127,심야식당,117607,929170630,2015
128,시카리오: 암살자의 도시,117315,946475252,2015
129,우먼 인 골드,114738,879437800,2015
130,센과 치히로의 행방불명,110813,871002700,2015
131,셀프/리스,107457,845097264,2015
132,퇴마: 무녀굴,107406,846836100,2015
133,존 윅,106900,853468937,2015
134,더 건맨,103118,799576065,2015
135,최강전사 미니특공대 : 새로운 악당의 습격,102626,775257300,2015
136,상의원,102087,819935000,2015
137,맨 프롬 UNCLE,101097,786716953,2015
138,눈의 여왕 2: 트롤의 마법거울,96635,712447600,2015
139,돌연변이,90179,668661984,2015
140,인터스텔라,90076,843069800,2015
141,포커스,86812,668772100,2015
142,7번째 아들,86777,684865851,2015
143,빌리와 용감한 녀석들 3,86341,616331600,2015
144,사우스포,80528,606275748,2015
145,갤로우즈,77818,601508706,2015
146,스틸 앨리스,77499,595513246,2015
147,극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,76699,565956900,2015
148,타임 패러독스,72929,572145608,2015
149,더 이퀄라이저,71921,559072000,2015
150,빅 아이즈,71574,546442035,2015
151,쓰리 썸머 나잇,71374,564744346,2015
152,위자,70704,549716035,2015
153,세인트 빈센트,68975,532679428,2015
154,숀더쉽,67479,476513600,2015
155,엑스 마키나,67118,541291763,2015
156,피치 퍼펙트: 언프리티 걸즈,64196,496626397,2015
157,극장판 도라에몽 : 진구의 우주영웅기~스페이스 히어로즈~,63991,458377400,2015
158,프리덤,62068,441737700,2015
159,다크 플레이스,62054,496838654,2015
160,히트맨: 에이전트 47,60731,474744300,2015
161,주온: 더 파이널,58048,440038200,2015
162,기생수 파트2,56851,459784359,2015
163,러브 라이브! 더 스쿨 아이돌 무비,55503,412930500,2015
164,더 매직: 리틀톰과 도둑공주,55300,414528800,2015
165,미라클 벨리에,52731,397797689,2015
166,위아영,51388,411919087,2015
167,대니 콜린스,50680,382156105,2015
168,러브 액츄얼리,50394,403333646,2015
169,드래곤 블레이드,49499,376626100,2015
170,보루토 - 나루토 더 무비,49372,366193900,2015
171,더 비지트,48822,377764881,2015
172,라스트 위치 헌터,48598,338027000,2015
173,파더 앤 도터,47727,357921100,2015
174,미안해 사랑해 고마워,47397,333884900,2015
175,비밀,46097,338223600,2015
176,고녀석 맛나겠다2 : 함께라서 행복해,44411,310263800,2015
177,크림슨 피크,43230,350449400,2015
178,송 원,41440,305184743,2015
179,이스케이프,40684,313857300,2015
180,말할 수 없는 비밀,39773,324335100,2015
181,스트레이트 아웃 오브 컴턴,39308,331192600,2015
182,아더와 미니모이 3: 두 세계의 전쟁,39204,286556100,2015
183,데모닉,37910,289060400,2015
184,포켓몬 레인저와 바다의 왕자 마나피,37229,260219600,2015
185,약장수,36628,269439400,2015
186,한 번 더 해피엔딩,35034,269420851,2015
187,개구리왕국,34965,250418500,2015
188,러덜리스,33987,267003620,2015
189,유고와 라라: 하늘고래와 구름섬 대모험,33943,248416100,2015
190,바다 탐험대 옥토넛 스페셜,33249,251517800,2015
191,령 : 저주받은 사진,33106,250256853,2015
192,코블러,32834,251171932,2015
193,이웃집에 신이 산다,31679,256662800,2015
194,맥베스,30384,220165700,2015
195,모데카이,29874,244164400,2015
196,팔로우,28053,232974843,2015
197,라자루스,25678,202140300,2015
