,제목,관객수,매출액,연도
0,아바타,8101481,80819903000,2010
1,아저씨,6153307,46912622500,2010
2,인셉션,5818692,43328488000,2010
3,의형제,5401659,40057987000,2010
4,아이언맨 2,4416203,32565917500,2010
5,전우치,3593801,26217634000,2010
6,이끼,3329949,25278029500,2010
7,포화속으로,3312401,23734729600,2010
8,하모니,3000094,21533782000,2010
9,방자전,2973556,22418204500,2010
10,솔트,2865244,21326290500,2010
11,부당거래,2720864,20982607000,2010
12,시라노; 연애조작단,2670668,19750690000,2010
13,타이탄,2640633,21784504500,2010
14,드래곤 길들이기,2546907,26900662500,2010
15,해리 포터와 죽음의 성물1,2396988,16974636000,2010
16,하녀,2260058,16990946000,2010
17,나잇&데이,2241590,16764129600,2010
18,슈렉 포에버,2218957,22776451600,2010
19,이상한 나라의 앨리스,2136215,20241715500,2010
20,초능력자,2116936,15277410000,2010
21,이클립스,2050098,14805947500,2010
22,쩨쩨한 로맨스,1993723,15243223500,2010
23,페르시아의 왕자: 시간의 모래,1964026,14433462000,2010
24,해결사,1823180,13714501500,2010
25,퍼시 잭슨과 번개 도둑,1821677,12989366000,2010
26,악마를 보았다,1810723,13874549500,2010
27,로빈 후드,1568345,11543786500,2010
28,무적자,1528303,11512485500,2010
29,황해,1496028,11515617000,2010
30,토이 스토리 3,1418921,13950536900,2010
31,구르믈 버서난 달처럼,1360383,10121058500,2010
32,라스트 에어벤더,1358265,13726052500,2010
33,헬로우 고스트,1353135,9777581500,2010
34,심야의 F.M.,1189115,9064996500,2010
35,레지던트 이블 4: 끝나지 않은 전쟁 3D,1186682,14495852500,2010
36,육혈포 강도단,1178736,8438483000,2010
37,나니아 연대기: 새벽 출정호의 항해,1125624,10760715000,2010
38,용서는 없다,1106416,8455719000,2010
39,베스트셀러,1076392,7945558000,2010
40,김종욱 찾기,1063960,7762810000,2010
41,마루 밑 아리에티,1046019,7513126500,2010
42,셜록 홈즈,1031714,7641312000,2010
43,파괴된 사나이,1007772,7666485600,2010
44,셔터 아일랜드,978598,7320480500,2010
45,슈퍼  배드,961968,9100763000,2010
46,방가? 방가!,950225,6856745000,2010
47,평행이론,912437,6730008000,2010
48,투어리스트,885191,6604332000,2010
49,스카이 라인,857976,6304793000,2010
50,고死 두 번째 이야기: 교생실습,833769,5652284500,2010
51,A-특공대,765395,5702507000,2010
52,주유소 습격사건 2,725138,5347826000,2010
53,내 깡패 같은 애인,686772,5017881000,2010
54,마음이2,653766,4362797000,2010
55,새미의 어드벤쳐,647860,6108607500,2010
56,스텝 업 3D,645183,7043875000,2010
57,하늘에서 음식이 내린다면,633173,5260879000,2010
58,명탐정 코난: 천공의 난파선,590024,3819814500,2010
59,오션스,589137,4069256000,2010
60,이층의 악당,587761,4206937000,2010
61,그린 존,582370,4355717000,2010
62,반가운 살인자,579372,4224766000,2010
63,레터스 투 줄리엣,559513,4115897500,2010
64,마법사의 제자,557756,3968024500,2010
65,퀴즈왕,551037,4078909500,2010
66,라스트 갓파더,543518,3953495500,2010
67,소셜 네트워크,502911,3698871000,2010
68,먹고 기도하고 사랑하라,483027,3545711000,2010
69,피라냐,481610,5411600500,2010
70,레드,478927,3530841000,2010
71,앨빈과 슈퍼밴드2,478800,3200801000,2010
72,불량남녀,470837,3479406000,2010
73,친정엄마,460450,3260391000,2010
74,적인걸: 측천무후의 비밀,453181,3298922000,2010
75,대한민국 1%,437147,2227277500,2010
76,언스토퍼블,436088,3159889000,2010
77,식객2 : 김치전쟁,432488,3095006500,2010
78,워리어스 웨이,422795,3032080000,2010
79,파라노말 액티비티,418916,3066111000,2010
80,섹스 앤 더 시티 2,390164,2960503000,2010
81,나인,386438,2958825000,2010
82,익스펜더블,383713,2920377000,2010
83,아스트로 보이-아톰의 귀환,379054,2501293500,2010
84,공자 춘추전국시대,363607,2718512000,2010
85,프롬 파리 위드 러브,359459,2730339500,2010
86,파라노말 액티비티 2,352361,2531367000,2010
87,블라인드 사이드,343964,2530616000,2010
88,맨발의 꿈,327288,2343017500,2010
89,킬러스,309843,2288055500,2010
90,검우강호,299780,2157945500,2010
91,가디언의 전설,289786,2524667900,2010
92,베스트 키드,282195,1996722000,2010
93,울프맨,262413,2041028500,2010
94,프레데터스,243698,1752156000,2010
95,월 스트리트: 머니 네버 슬립스,234312,1709115500,2010
96,극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,234014,1631294000,2010
97,일라이,210559,1572169500,2010
98,쓰리 데이즈,210174,1529046000,2010
99,포스 카인드,209789,1560459500,2010
100,러블리 본즈,207920,1542185500,2010
101,사랑은 너무 복잡해,201304,1493782500,2010
102,페스티발,195648,1507813000,2010
103,시,193690,1378530450,2010
104,엣지 오브 다크니스,191543,1404161000,2010
105,꼬마 니콜라,190196,1302761500,2010
106,극장판 도라에몽: 진구의 인어대해전,186322,1241546000,2010
107,디어 존,186272,1397251000,2010
108,유령작가,172087,1268910500,2010
109,폐가,168371,1192415000,2010
110,허트 로커,164633,1230909500,2010
111,스플라이스,160038,1243203500,2010
112,내니맥피 2: 유모와마법소동,157472,1040925500,2010
113,비밀애,156169,1154957500,2010
114,무법자,155180,1185510000,2010
115,렛 미 인,154401,1066483000,2010
116,그랑프리,150509,1102678000,2010
117,더 로드,150488,1109864500,2010
118,킥 애스: 영웅의 탄생,149137,1136153000,2010
119,아빠가 여자를 좋아해,144945,1034735000,2010
120,발렌타인 데이,140263,1088829500,2010
121,김복남 살인사건의 전말,138846,1075442000,2010
122,크레이지,138779,1065490000,2010
123,트론: 새로운 시작,130680,1460664300,2010
124,나이트메어,129368,1001243000,2010
125,스트리트댄스,125378,1397499000,2010
126,"울지마, 톤즈",121619,567620000,2010
127,데이브레이커스,121568,930804000,2010
128,데블,115478,848991500,2010
129,솔로몬 케인,114908,864939500,2010
130,500일의 썸머,114553,868875500,2010
131,들어는 봤니? 모건 부부,112585,861692000,2010
132,원피스 극장판: 스트롱 월드,111126,750872500,2010
133,포켓 몬스터 DP: 아르세우스 초극의 시공으로,110117,738285500,2010
134,두 여자,109672,822481500,2010
135,뮬란: 전사의 귀환,107842,765450000,2010
136,케로로 더 무비 5: 기적의 사차원섬,107069,737772500,2010
137,애프터 라이프,105634,775265000,2010
138,클로이,104052,799837500,2010
139,프로포즈 데이,104029,787275500,2010
140,22 블렛,102492,778087500,2010
141,죽이고 싶은,102452,763502000,2010
142,웨딩드레스,101628,710617500,2010
143,아바타 3D 스페셜에디션,101225,1253694000,2010
144,극장판파워레인저 엔진포스VS 와일드스피릿,100929,715710500,2010
145,8인: 최후의 결사단,100349,753984500,2010
146,오션월드 3D,100288,1050493300,2010
147,캣츠 앤 독스 2,96899,719559400,2010
148,라스트 엑소시즘,93903,657136000,2010
149,쏘우 3D,93254,1182522000,2010
150,꿈은 이루어진다,90711,642679000,2010
151,나탈리,82944,982875000,2010
152,대병소장,82797,607213500,2010
153,하치 이야기,81754,594982000,2010
154,마법천자문: 대마왕의 부활을 막아라,81617,533233500,2010
155,더 콘서트,76891,554076500,2010
156,필립모리스,73770,564725700,2010
157,우리가 꿈꾸는 기적: 인빅터스,73127,543863500,2010
158,공주와 개구리,73003,494824500,2010
159,스위치,72891,497924500,2010
160,엑스페리먼트,72255,526232500,2010
161,아마존의 눈물,69715,472436500,2010
162,참을 수 없는,64401,486277000,2010
163,브라더스,60703,457524500,2010
164,파르나서스 박사의 상상극장,59386,440315500,2010
165,여대생 기숙사,55021,419287000,2010
166,돌이킬 수 없는,53889,391485500,2010
167,베리드,52837,391706000,2010
168,듀 데이트,51586,396570000,2010
169,대지진,49776,349646500,2010
170,엽문2,49085,370052500,2010
171,바운티 헌터,48941,371466000,2010
172,킬러 인사이드 미,46395,353232000,2010
173,사랑은 언제나 진행중,45493,340122000,2010
174,톨스토이의 마지막 인생,45012,326591500,2010
175,폭풍전야,44590,335750500,2010
176,엘라의 모험 2: 백설공주 길들이기,43533,304501000,2010
177,된장,41768,308927000,2010
178,아더와 미니모이 2 : 셀레니아 공주 구출 작전,34874,225345500,2010
179,센츄리온,34787,251690000,2010
180,주문진,31763,159976000,2010
181,에브리바디 올라잇,27046,196370500,2010
182,아메리칸,23030,172979500,2010
183,집 나온 남자들,22770,164755500,2010
184,G-포스: 기니피그 특공대,19004,195107500,2010
185,작은 연못,17116,121825000,2010
186,회복,15604,107036500,2010
187,하하하,13980,106476000,2010
188,스즈미야 하루히의 소실,12594,86007000,2010
189,디센트: Part 2,12471,93248500,2010
190,헤이트 발렌타인데이,12451,95019000,2010
191,위대한 침묵,10883,81426500,2010
192,노다메 칸타빌레 Vol.1 ,10810,79558000,2010
193,토마스와 친구들 - 극장판 2,9330,66889500,2010
194,골든 슬럼버,8641,59826000,2010
195,러브 매니지먼트,7253,56294000,2010
196,플래닛 51,5154,33528500,2010
197,2012,5149,36729500,2010
198,쏘우-여섯번의 기회,4750,37631500,2010
199,소명 2-모겐족의 월드컵,3750,26335500,2010
200,춤추는 꿈틀이 밴드,3657,25623500,2010
201,나는 나비,3024,13765000,2010
202,하비의 마지막 로맨스,2842,21245000,2010
203,서태지밴드 라이브 투어 <더 뫼비우스>,2432,17808000,2010
204,2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉,2138,15993000,2010
205,런어웨이즈,1684,12177500,2010
206,커플 테라피: 대화가 필요해,1540,11469000,2010
