,제목,관객수,매출액,연도
0,신과함께-인과 연,12261650,102564236359,2018
1,어벤져스: 인피니티 워,11180554,99586682969,2018
2,보헤미안 랩소디,9221480,79983669345,2018
3,미션 임파서블: 폴아웃,6561234,55681448612,2018
4,신과함께-죄와 벌,5861652,47274359305,2018
5,쥬라기 월드: 폴른 킹덤,5648346,49658720637,2018
6,앤트맨과 와스프,5443399,47430554685,2018
7,안시성,5426215,46243437326,2018
8,블랙 팬서,5368255,45642692657,2018
9,완벽한 타인,5276610,44208803674,2018
10,1987,5259010,42680608608,2018
11,독전,5059924,43452493413,2018
12,공작,4960830,42689681526,2018
13,베놈,3873263,33992735357,2018
14,데드풀 2,3777978,34127222039,2018
15,암수살인,3769850,32844252148,2018
16,국가부도의 날,3729178,30686108687,2018
17,코코,3495081,27562827740,2018
18,아쿠아맨,3491315,30448714381,2018
19,그것만이 내 세상,3382514,27192401882,2018
20,마녀,3181606,27179143663,2018
21,탐정: 리턴즈,3137485,26789838678,2018
22,인크레더블 2,2999812,24269407288,2018
23,서치,2939009,25194106245,2018
24,너의 결혼식,2791442,23425485919,2018
25,곤지암,2659314,21306358544,2018
26,지금 만나러 갑니다,2589881,20702990928,2018
27,목격자,2512607,21642155947,2018
28,조선명탐정: 흡혈괴마의 비밀,2417327,19624748064,2018
29,신비한 동물들과 그린델왈드의 범죄,2384642,20576595318,2018
30,메이즈 러너: 데스 큐어,2291733,18820270504,2018
31,맘마미아!2,2277480,19469215703,2018
32,레디 플레이어 원,2238900,19774536871,2018
33,명당,2065249,17743022274,2018
34,협상,1954833,16934315116,2018
35,마약왕,1813586,15784668552,2018
36,쥬만지: 새로운 세계,1697127,13726815264,2018
37,창궐,1588745,13191970590,2018
38,성난황소,1576018,13106613537,2018
39,도어락,1529570,12543554186,2018
40,리틀 포레스트,1496308,11855735385,2018
41,램페이지,1381540,11919331396,2018
42,골든슬럼버,1360861,11203599198,2018
43,궁합,1328691,10394761138,2018
44,오션스8,1328079,11632934866,2018
45,사라진 밤,1301538,10592205116,2018
46,스윙키즈,1241491,10164308202,2018
47,바람 바람 바람,1182712,9690475175,2018
48,PMC: 더 벙커,1169581,9618133367,2018
49,범블비,1163449,9720861752,2018
50,챔피언,1121068,9421062630,2018
51,퍼시픽 림: 업라이징,1068065,8889755095,2018
52,몬스터 호텔 3,1047286,7754497300,2018
53,더 넌,1008951,8754659745,2018
54,스카이스크래퍼,994991,8551235818,2018
55,염력,976726,7392358112,2018
56,인랑,890734,6942418073,2018
57,월요일이 사라졌다,881776,7312251000,2018
58,극장판 헬로카봇 : 백악기 시대,847057,6353699500,2018
59,레슬러,765433,6441971957,2018
60,상류사회,759999,6242609363,2018
61,물괴,710676,6007088604,2018
62,미쓰백,709233,5936136766,2018
63,신비아파트: 금빛 도깨비와 비밀의 동굴,662616,4885069000,2018
64,퍼스트맨,649714,5975569239,2018
65,스파이더맨: 뉴 유니버스,636499,5269681426,2018
66,인시디어스4: 라스트 키,544985,4228818764,2018
67,"그날, 바다",531857,4379375328,2018
68,툼레이더,529442,4414869962,2018
69,메가로돈,523539,4483586097,2018
70,위대한 쇼맨,522882,4314979000,2018
71,7년의 밤,518295,3896986224,2018
72,버닝,517665,4620389598,2018
73,페르디난드,510510,3700202400,2018
74,콰이어트 플레이스,506658,4409978549,2018
75,그린치,480894,3642960950,2018
76,셰이프 오브 워터: 사랑의 모양,477941,3969822300,2018
77,호두까기 인형과 4개의 왕국,474510,3846572200,2018
78,곰돌이 푸 다시 만나 행복해,474058,3956012060,2018
79,동네사람들,453834,3757128762,2018
80,변산,452680,3725668473,2018
81,스타 이즈 본,450560,3924154250,2018
82,원더풀 고스트,439416,3637318700,2018
83,강철비,431094,3444205300,2018
84,흥부: 글로 세상을 바꾼 자,400799,3269435200,2018
85,명탐정 코난 : 제로의 집행인,383633,2912263500,2018
86,피터 래빗,378883,2934555700,2018
87,점박이 한반도의 공룡2 : 새로운 낙원,368796,2882444400,2018
88,미드나잇 선,318093,2610462000,2018
89,패딩턴 2,307441,2310689300,2018
90,트루스 오어 데어,306637,2611358900,2018
91,번 더 스테이지: 더 무비,305360,2587740400,2018
92,허스토리,304466,2281513349,2018
93,덕구,299680,2286921400,2018
94,해리포터와 마법사의 돌,267806,2348473000,2018
95,후드,262990,2033485899,2018
96,커뮤터,262669,2111701655,2018
97,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,261118,2026074100,2018
98,모털 엔진,252816,2208051969,2018
99,나를 차버린 스파이,242262,2149059900,2018
100,명탐정 코난:감벽의 관,234824,1744843900,2018
101,치즈인더트랩,224046,1853667700,2018
102,아이 필 프리티,220251,1957217900,2018
103,시카리오: 데이 오브 솔다도,217123,1829731100,2018
104,바울,217080,1725694800,2018
105,12 솔져스,212143,1740705800,2018
106,벽 속에 숨은 마법시계,210702,1625149800,2018
107,한 솔로: 스타워즈 스토리,210300,1927061978,2018
108,속닥속닥,209965,1842141500,2018
109,허리케인 하이스트,198573,1602244048,2018
110,1급기밀,191051,1520043400,2018
111,업그레이드,184312,1696548000,2018
112,50가지 그림자: 해방,182637,1561562900,2018
113,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,171363,1298347500,2018
114,나미야 잡화점의 기적,168307,1263542685,2018
115,런닝맨 : 풀룰루의 역습,168153,1292954150,2018
116,더 프레데터,167595,1474411314,2018
117,유전,155507,1370453525,2018
118,콜 미 바이 유어 네임,155376,1278731000,2018
119,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,149111,1137945000,2018
120,극장판 도라에몽: 진구의 보물섬,146999,1101824900,2018
121,다운사이징,143926,1187131104,2018
122,나를 기억해,134091,1173960945,2018
123,독전: 익스텐디드 컷,133342,817469400,2018
124,크레이지 리치 아시안,131051,1140109441,2018
125,원더,125379,981780645,2018
126,어느 가족,123614,1037979700,2018
127,극장판 포켓몬스터 모두의 이야기,120035,936917050,2018
128,빅샤크: 매직체인지,118716,892048700,2018
129,얼리맨,111724,860294000,2018
130,더 포스트,103396,818053300,2018
131,부탁 하나만 들어줘,101961,883745238,2018
132,할로윈,101223,827976063,2018
133,"안녕, 나의 소녀",94953,744094434,2018
134,레드 스패로,94370,749947700,2018
135,극장판 포켓몬스터 너로 정했다!,89628,662358000,2018
136,커다랗고 커다랗고 커다란 배,87245,692536600,2018
137,당갈,85508,716157800,2018
138,루이스,85269,669674450,2018
139,게이트,84662,695090900,2018
140,여중생A,83648,697313300,2018
141,베일리 어게인,80873,688292000,2018
142,미니특공대X,78684,592128500,2018
143,쓰리 빌보드,76983,633243900,2018
144,호텔 아르테미스,75984,632253100,2018
145,셜록 놈즈,72770,552586450,2018
146,출국,71034,561871150,2018
147,여곡성,62618,557018500,2018
148,레오나르도 다 빈치,62336,493978900,2018
149,레이디 버드,61806,485606900,2018
150,신은 죽지 않았다 3: 어둠 속의 빛,59078,470281800,2018
151,마일22,59074,518497200,2018
152,마야2,52404,393480000,2018
153,어드리프트:우리가 함께한 바다,49060,398089968,2018
154,머니백,48201,383561200,2018
155,데자뷰,46865,349279600,2018
156,매직빈,46415,360963200,2018
157,살인소설,44501,352184200,2018
158,말모이,44488,233308000,2018
159,에그엔젤 코코밍: 두근두근 핼러윈 파티,43305,344498500,2018
160,몬스터 패밀리,42665,315847000,2018
161,플로리다 프로젝트,42387,355124300,2018
162,소공녀,42232,336514500,2018
163,뽀로로 극장판 공룡섬 대모험,41307,307521200,2018
164,엘리엇과 산타 썰매단,41154,301641200,2018
165,올 더 머니,41064,333705400,2018
166,그래비티,40445,618004500,2018
167,헌터 킬러,40402,333933750,2018
168,온리 더 브레이브,40299,319801800,2018
169,비밥바룰라,39230,269702200,2018
170,배반의 장미,38923,316816550,2018
171,너의 췌장을 먹고 싶어,38763,302371755,2018
172,"스탠바이, 웬디",37048,289417680,2018
173,번개맨과 신비의 섬,34216,272267000,2018
174,너의 이름은.,33423,262221400,2018
175,다이노 어드벤처2: 육해공 공룡 대백과,33138,257273850,2018
176,극장판 뽀잉: 슈퍼 변신의 비밀,32788,254108500,2018
177,아일라,30656,242888700,2018
178,킬링 디어,30452,266589700,2018
179,거미줄에 걸린 소녀,29872,234620950,2018
180,번개맨의 비밀,28941,232433600,2018
181,정글번치: 최강 악당의 등장,28367,227325800,2018
182,"부르고뉴, 와인에서 찾은 인생",28265,245525800,2018
183,벅스 프렌즈,25965,206019600,2018
184,극장판 레이디버그: 미라클스톤의 비밀,24633,184794200,2018
185,이별의 아침에 약속의 꽃을 장식하자,24590,214217600,2018
186,크리미널 스쿼드,24226,201674000,2018
187,스파키,24060,180952100,2018
188,아바타,23385,262597500,2018
189,루비 스팍스,23303,206273900,2018
190,노크: 초대받지 않은 손님,23214,198114500,2018
191,에브리데이,23075,207241000,2018
192,펭귄 하이웨이,22511,182135000,2018
193,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",21678,169128600,2018
194,막달라 마리아: 부활의 증인,20994,146973700,2018
195,툴리,20950,172987300,2018
196,젝스키스 에이틴,20761,155667000,2018
197,더 포리너,19853,158256500,2018
198,리틀 뱀파이어,19586,140855100,2018
199,투 프렌즈,18442,139584050,2018
200,구스범스: 몬스터의 역습,18262,149948900,2018
201,박물관이 진짜 살아있다,17147,134175800,2018
202,마징가 Z: 인피니티,17116,138684700,2018
203,양말요정 휴고의 대모험,16529,115698900,2018
204,"오늘 밤, 로맨스 극장에서",15663,131994700,2018
205,다이노 헌터: 티렉스VS파키리노 대격돌,15559,125505200,2018
206,그랜드 부다페스트 호텔,14702,133264700,2018
207,터닝메카드W: 반다인의 비밀 특별판,14272,110917800,2018
208,극장판 가면라이더 이그제이드: 트루 엔딩,14137,110731450,2018
209,중2병이라도 사랑이 하고 싶어! 테이크 온 미,13728,116447000,2018
210,몬태나,13324,100910300,2018
211,원더스트럭,13265,113837800,2018
212,윌리,13020,105922500,2018
213,폴란드로 간 아이들,13008,105685900,2018
214,라이프 오브 파이,12218,120760800,2018
215,아기곰 보보 구출 대작전,11544,85206800,2018
216,토니스토리2: 고철왕국의 친구들,11338,87861800,2018
217,바니부기: 드래곤 에그를 찾아서,11296,87489500,2018
218,꼬마영웅 바비,11037,85731600,2018
219,위 베어 베어스: 베이비 베어스,10986,86316700,2018
220,해피 투게더,10800,79716450,2018
221,로빈슨의 언더워터 어드벤처,10436,79869300,2018
222,반딧불이 딘딘,10210,67610200,2018
223,유니콘 원정대: 비밀의 다이어리,10136,80863900,2018
224,명탐정 코난: 순흑의 악몽,9764,81378500,2018
225,로건 럭키,9395,71071700,2018
226,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,9245,71419400,2018
227,나츠메 우인장: 세상과 연을 맺다,8660,60216000,2018
228,캡틴 샤키,8349,63692050,2018
229,디트로이트,8147,67174400,2018
230,리즈와 파랑새,8015,66572750,2018
231,플로이,7684,53664300,2018
232,캡틴 스터비,7325,56787400,2018
233,꼬마비행기 피티와 친구들:사막구출 대작전,7216,56519800,2018
234,임을 위한 행진곡,7175,54935100,2018
235,액슬,6841,59700300,2018
236,모어 댄 블루,6573,49280600,2018
237,스타워즈: 라스트 제다이,6211,73550500,2018
238,호비와 매직 아일랜드,5899,42897000,2018
239,주문은 토끼입니까?? ~디어 마이 시스터~,5773,40877500,2018
240,트와이스랜드,5042,45101000,2018
241,킨: 더 비기닝,4945,41274300,2018
242,5.18 힌츠페터 스토리,4828,28412600,2018
243,꼬마 보트 토토: 타요 타요 배 타요,4751,37646700,2018
244,바르다가 사랑한 얼굴들,4338,37873900,2018
245,파이널 포트레이트,4179,34567416,2018
246,더 스퀘어,4141,35134300,2018
247,문호 스트레이독스 [데드 애플],4070,31605500,2018
248,알리바이 닷 컴,4015,38271000,2018
249,하이큐!! 콘셉트의 싸움,3869,27030500,2018
250,아이 엠 러브,3795,30015873,2018
251,체실 비치에서,3656,30467100,2018
252,개들의 섬,3404,28046600,2018
253,노인을 위한 나라는 없다,3147,29245000,2018
254,정무문,3000,26872000,2018
255,타이타닉,2994,19863000,2018
256,사랑과 영혼,2972,26672000,2018
257,겨울왕국의 무민,2785,11141000,2018
258,인디애니페스트 2018 새벽비행 2,2422,12117000,2018
259,박하사탕,2367,22186000,2018
260,드래곤 프린세스,2261,17925900,2018
