,제목,관객수,매출액
0,부산행,11545582,93016914348
1,검사외전,9637945,76792567364
2,캡틴 아메리카: 시빌 워,8659536,72524648027
3,밀정,7468963,61019395031
4,터널,7095125,57317888117
5,인천상륙작전,7041005,55044541503
6,럭키,6965010,56366525556
7,곡성,6850063,55619482282
8,덕혜옹주,5563041,44105396009
9,닥터 스트레인지,5441157,47437201396
