,제목,관객수,매출액
0,트랜스포머 3,7749860,74534807500
1,최종병기 활,7436543,55613006000
2,써니,7305722,53619749600
3,완득이,5299010,38459445000
4,쿵푸팬더 2,5056833,44264044500
5,미션임파서블:고스트프로토콜,4975161,37765048000
6,조선명탐정 : 각시투구꽃의 비밀,4767635,35713044500
7,도가니,4645291,35442335300
8,해리포터와 죽음의 성물2,4338923,34045755500
9,리얼 스틸,3570568,26501123500
