,제목,관객수,매출액
0,남산의 부장들,4739175,41129262110
1,다만 악에서 구하소서,4352756,38566974800
2,반도,3809819,33054728870
3,히트맨,2396652,20528241900
4,테넷,1984480,18323473010
5,백두산,1949993,16826162150
6,#살아있다,1900179,15947198820
7,강철비2: 정상회담,1790010,14649263610
8,담보,1710353,14679804330
9,닥터 두리틀,1596772,13381212390
