,제목,관객수,매출액
0,신과함께-인과 연,12261650,102564236359
1,어벤져스: 인피니티 워,11180554,99586682969
2,보헤미안 랩소디,9221480,79983669345
3,미션 임파서블: 폴아웃,6561234,55681448612
4,신과함께-죄와 벌,5861652,47274359305
5,쥬라기 월드: 폴른 킹덤,5648346,49658720637
6,앤트맨과 와스프,5443399,47430554685
7,안시성,5426215,46243437326
8,블랙 팬서,5368255,45642692657
9,완벽한 타인,5276610,44208803674
