,제목,관객수,매출액
0,도둑들,12962405,93516635500
1,"광해, 왕이 된 남자",12272545,88604681769
2,어벤져스,7054219,59393730065
3,늑대소년,6610176,46290900000
4,다크 나이트 라이즈,6371547,47413482500
5,바람과 함께 사라지다,4859883,34276270161
6,어메이징 스파이더맨,4842933,41082705735
7,범죄와의 전쟁: 나쁜놈들 전성시대,4649728,36029424500
8,내 아내의 모든 것,4581363,34096829000
9,연가시,4491539,32005681164
