,제목,관객수,매출액
0,베테랑,13394663,105027419150
1,암살,12680841,98276700081
2,어벤져스: 에이지 오브 울트론,10480622,88466988466
3,국제시장,8865243,69501839734
4,내부자들,7040248,56341770757
5,사도,6229469,48721011601
6,킹스맨 : 시크릿 에이전트,6119565,50289664295
7,미션 임파서블: 로그네이션,6101830,48345964007
8,연평해전,6029384,45475270930
9,쥬라기 월드,5542929,47772255326
