,제목,관객수,매출액
0,공조,15580428,127116223052
1,택시운전사,12143304,95545284949
2,더 킹,10580718,86524523670
3,미녀와 야수,10236188,83931749558
4,신과함께-죄와 벌,8536277,68327061432
5,분노의 질주: 더 익스트림,7301148,59919082696
6,스파이더맨: 홈 커밍,7246799,59030018920
7,너의 이름은.,7096117,57078420712
8,미이라,7018919,58174895558
9,범죄도시,6858989,56143179749
