,제목,관객수,매출액
0,7번방의 선물,12791502,91321831670
1,설국열차,9324005,66830863000
2,관상,9111735,65849963000
3,아이언맨 3,8981870,70659559500
4,베를린,7147942,52225237637
5,은밀하게 위대하게,6945786,48608590913
6,변호인,5671236,40846586000
7,숨바꼭질,5574255,39389999000
8,더 테러 라이브,5571831,39782422317
9,감시자들,5501802,39337319179
