,제목,관객수,매출액
0,극한직업,16236130,139410421566
1,어벤져스: 엔드게임,13897147,121819533790
2,겨울왕국 2,13367899,111585165720
3,알라딘,12505404,106532065369
4,기생충,10055634,85642313435
5,엑시트,9393828,78992804152
6,스파이더맨: 파 프롬 홈,8006004,68880615720
7,백두산,6290255,52904060770
8,캡틴 마블,5757032,51110013133
9,조커,5229027,45215057210
