,제목,관객수,매출액
0,명량,17576195,135474044210
1,겨울왕국,10264800,82205050200
2,인터스텔라,10102890,80648119300
3,수상한 그녀,8617226,62461103649
4,해적: 바다로 간 산적,8613324,66093465006
5,변호인,5658458,41723491500
6,국제시장,5325814,40938420596
7,트랜스포머: 사라진 시대,5291192,43959452345
8,군도: 민란의 시대,4762250,36899846099
9,엣지 오브 투모로우,4684113,38599585601
